1.0060000000000007 0 0.0 1 1.0060000000000007 2 0.0 0 1 5676272; 2 
2.1920000000000006 0 0.022 1 2.170000000000001 2 0.0 0 1 5676272 22951944; 2 
3.2119999999999664 0 0.05200000000000003 1 3.157999999999966 2 0.002 0 1 5676272 22951944 22498142; 2 
4.217999999999995 0 0.03800000000000002 1 4.177999999999996 2 0.002 0 1 5676272 22951944 22498142 14465317; 2 
5.293999999999937 0 0.034000000000000016 1 5.253999999999938 2 0.006 0 1 5676272 14465317 22498142 22951944 17956232; 2 
6.24999999999994 0 0.030000000000000013 1 6.2199999999999385 2 0.0 0 1 5676272 14465317 22498142 22951944 17956232 15760559; 2 
7.268000000000021 0 0.050000000000000024 1 7.212000000000021 2 0.006 0 1 5676272 14465317 22498142 22951944 17956232 15760559 22750634; 2 
8.257999999999994 0 0.02800000000000001 1 8.229999999999995 2 0.0 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229; 2 
9.347999999999963 0 0.05800000000000004 1 8.275999999999987 2 1.0140000000000007 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229; 2 29620256; 
10.467999999999915 0 0.10200000000000008 1 9.349999999999973 2 1.0160000000000007 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229 23538058; 2 29620256; 
22.10800000000009 0 4.2519999999999945 1 16.78600000000003 2 1.0700000000000007 0 7768452 28447324 19739122 14965263; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532 20112492 792795 15840187 10750192 28504810; 2 29620256; 
22.933999999999976 0 4.1279999999999974 1 17.740000000000006 2 1.0660000000000007 0 28447324 19739122 14965263 7768452; 1 14465317 22750634 28504810 5676272 10750192 20112492 82383 17956232 15760559 22951944 15840187 792795 19779229 23538058 22498142 13897532 23842725; 2 29620256; 
24.12399999999985 0 4.187999999999996 1 18.869999999999976 2 1.0660000000000007 0 28447324 19739122 14965263 7768452; 1 14465317 22750634 28504810 5676272 10750192 20112492 82383 17956232 15760559 22951944 15840187 792795 19779229 23538058 22498142 13897532 23842725 16611179; 2 29620256; 
25.079999999999934 0 4.229999999999996 1 19.797999999999973 2 1.0520000000000007 0 28447324 19739122 14965263 7768452; 1 14465317 22750634 28504810 5676272 10750192 20112492 82383 17956232 15760559 22951944 15840187 792795 19779229 23538058 22498142 13897532 23842725 16611179 23491643; 2 29620256; 
26.12599999999999 0 4.183999999999997 1 20.859999999999932 2 1.0820000000000007 0 28447324 19739122 14965263 7768452; 1 14465317 22750634 28504810 5676272 10750192 20112492 82383 17956232 15760559 22951944 15840187 792795 19779229 23538058 22498142 13897532 23842725 16611179 23491643 7040302; 2 29620256; 
27.089999999999854 0 4.191999999999997 1 21.83800000000007 2 1.0600000000000007 0 28447324 19739122 14965263 7768452; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250; 2 29620256; 
28.347999999999928 0 5.231999999999941 1 22.046000000000074 2 1.0700000000000007 0 28447324 19739122 14965263 7768452 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250; 2 29620256; 
29.28999999999998 0 6.317999999999944 1 21.90600000000007 2 1.0660000000000007 0 28447324 19739122 14965263 7768452 26747105 14824349; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250; 2 29620256; 
30.517999999999944 0 6.347999999999944 1 23.089999999999947 2 1.0800000000000007 0 28447324 19739122 14965263 7768452 14824349 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 14549852; 2 29620256; 
31.58199999999998 0 6.31199999999994 1 24.18399999999987 2 1.0860000000000007 0 28447324 19739122 14965263 7768452 14824349 26747105; 1 23842725 22951944 28504810 5676272 10750192 20112492 82383 17956232 15760559 7040302 15840187 792795 19779229 23538058 22498142 16611179 14465317 23491643 13897532 22750634 34905250 14549852 21499200; 2 29620256; 
