2.191999999999998 0 0.25200000000000017 1 0.9020000000000007 2 1.0380000000000007 0 1 2 17850012; 
3.285999999999983 0 1.308000000000001 1 0.9240000000000007 2 1.0540000000000007 0 9922122; 1 2 17850012; 
29.799999999999965 0 7.791999999999974 1 20.661999999999992 2 1.346000000000001 0 7828252 9922122 21719730 18162730 16090188 29863027; 1 22523228 16845153 22463905 8820652 19360333 12389772 16412744 17201112 14328764 14451294 17323772 25468909 2384071 16102437 10125822 24691785; 2 17850012; 
31.53199999999999 0 9.005999999999979 1 21.151999999999976 2 1.374000000000001 0 7828252 18888190 11350892 21719730 18162730 16090188 29863027; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 25468909 10125822 17201112 24691785 14328764 14599976; 2 17850012; 
32.11799999999998 0 10.025999999999978 1 20.711999999999986 2 1.380000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 29863027 18660521; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24691785 14328764 14599976 22463905; 2 17850012; 
33.46400000000002 0 10.061999999999971 1 21.985999999999965 2 1.416000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 29863027 18660521; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24691785 14328764 14599976 22463905 16494857; 2 17850012; 
35.010000000000005 0 10.083999999999973 1 23.495999999999945 2 1.430000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 29863027 18660521; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24691785 14328764 14599976 22463905 16494857 15105269; 2 17850012; 
35.82800000000003 0 11.217999999999952 1 23.207999999999966 2 1.402000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 29863027 18660521 18888190; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24691785 14328764 14599976 27120518 16494857 15105269; 2 17850012; 
36.97000000000007 0 11.185999999999966 1 24.35399999999993 2 1.430000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 29863027 18660521 18888190; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24561360 14328764 14599976 27120518 16494857 15105269 14467222; 2 17850012; 
37.91800000000001 0 12.15999999999995 1 24.353999999999935 2 1.404000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 39299693 18660521 18888190 29863027; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24561360 14328764 14599976 27120518 16494857 15105269 14467222; 2 17850012; 
39.17400000000002 0 12.197999999999947 1 25.571999999999928 2 1.404000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 39299693 18660521 29863027 15572221; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24561360 14328764 14599976 27120518 16494857 15105269 22463905 14467222; 2 17850012; 
40.193999999999996 0 12.341999999999937 1 26.415999999999958 2 1.436000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 39299693 18660521 29863027 15572221; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24561360 14328764 14599976 27120518 16494857 15105269 22463905 14467222 16462880; 2 17850012; 
41.3920000000001 0 12.251999999999937 1 27.693999999999928 2 1.446000000000001 0 7828252 33437822 11350892 21719730 18162730 16090188 39299693 18660521 29863027 15572221; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24561360 14328764 14599976 27120518 16494857 15105269 22463905 14467222 16462880 35324281; 2 17850012; 
42.46800000000001 0 12.173999999999948 1 28.74999999999991 2 1.5440000000000011 0 7828252 33437822 11350892 21719730 18162730 16090188 39299693 15757811 15572221 29863027; 1 22523228 16845153 8820652 19360333 12389772 16412744 16102437 17323772 14451294 2384071 10125822 17201112 24561360 14328764 14599976 27120518 16494857 14467222 15105269 16462880 14098609 22463905 24691785; 2 17850012; 
