1.0920000000000007 0 0.006 1 1.0700000000000007 2 0.016 0 1 14167991; 2 
2.180000000000001 0 0.022000000000000006 1 2.1420000000000012 2 0.016 0 1 14167991 12389772; 2 
3.1419999999999653 0 1.0280000000000007 1 2.098000000000001 2 0.016 0 38929280; 1 14167991 12389772; 2 
6.6679999999999655 0 2.9559999999999826 1 3.6579999999999684 2 0.054000000000000034 0 22461427; 1 12389772 14167991 22523228; 2 
7.843999999999974 0 2.8759999999999843 1 4.881999999999976 2 0.08600000000000005 0 22461427; 1 12389772 14167991 22523228 23344327; 2 
26.65199999999991 0 5.871999999999969 1 18.581999999999987 2 2.197999999999999 0 27362221 14813714 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071; 2 24863940 17850012; 
27.887999999999927 0 5.941999999999964 1 19.728000000000005 2 2.218 0 27362221 14813714 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880; 2 24863940 17850012; 
28.97599999999997 0 5.927999999999965 1 20.84999999999998 2 2.198 0 27362221 14813714 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857; 2 24863940 17850012; 
31.56399999999999 0 6.363999999999963 1 22.925999999999977 2 2.273999999999999 0 7376382 14813714 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411; 2 24863940 17850012; 
32.62000000000001 0 6.375999999999969 1 23.981999999999932 2 2.261999999999999 0 7376382 14813714 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518; 2 24863940 17850012; 
33.14200000000001 0 6.277999999999964 1 24.601999999999947 2 2.2619999999999996 0 7376382 14813714 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518 14390067; 2 24863940 17850012; 
34.55000000000003 0 8.389999999999972 1 23.893999999999945 2 2.265999999999999 0 7376382 14813714 18595063 14720172 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518; 2 24863940 17850012; 
35.75200000000001 0 8.451999999999966 1 25.06599999999995 2 2.233999999999998 0 7376382 14813714 18595063 14720172 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518 15184942; 2 24863940 17850012; 
36.632000000000026 0 8.395999999999976 1 25.011999999999908 2 3.2239999999999673 0 7376382 14813714 18595063 14720172 22461427; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518 15184942; 2 24863940 17850012 26766494; 
37.37000000000004 0 8.121999999999966 1 26.00399999999991 2 3.2439999999999705 0 33437822 14813714 18595063 22461427 17208441; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518 14390067 15184942; 2 24863940 17850012 26766494; 
38.30400000000002 0 10.133999999999968 1 24.949999999999942 2 3.219999999999967 0 33437822 14813714 18595063 15572221 22461427 17208441 39299693; 1 14167991 22242176 16236786 22523228 12389772 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729 2384071 16462880 16494857 16004411 27120518 15184942; 2 24863940 17850012 26766494; 
