1.0320000000000007 0 1.0140000000000007 1 0.006 2 0.012 0 14813714; 1 2 
4.133999999999976 0 1.486000000000001 1 2.5899999999999896 2 0.05800000000000003 0 14813714; 1 2384071; 2 
7.597999999999966 0 3.32199999999998 1 4.173999999999974 2 0.10200000000000008 0 22461427; 1 2384071 19360333; 2 
36.758 0 7.463999999999966 1 23.23599999999997 2 6.057999999999947 0 9922122 39299693 33437822 20297525 7828252 14103852; 1 16845153 12389772 17201112 10125822 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 15285795 14696934 797018; 2 19686924 16788703 24863940 18102660 13654112; 
38.07600000000002 0 7.543999999999966 1 24.379999999999956 2 6.151999999999955 0 9922122 39299693 33437822 20297525 7828252 14103852; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772 15105269 16102437 27120518 25468909 2384071 15285795 14696934 797018 10125822; 2 19686924 16788703 24863940 18102660 13654112; 
38.81400000000003 0 8.385999999999989 1 24.38599999999995 2 6.041999999999954 0 9922122 39299693 33437822 20297525 7828252 14103852 19808025; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 15285795 14696934 797018 10125822; 2 19686924 16788703 24863940 18102660 13654112; 
40.14000000000001 0 8.637999999999977 1 25.401999999999934 2 6.099999999999952 0 9922122 39299693 33437822 20297525 7828252 14103852 19808025; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 15285795 14696934 797018 10125822 21093392; 2 19686924 16788703 24863940 18102660 13654112; 
41.018 0 9.555999999999969 1 25.375999999999916 2 6.085999999999948 0 9922122 39299693 33437822 20297525 16045504 7828252 19808025 16090188; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 14349955 797018 14696934 21093392 16494857; 2 19686924 24863940 18102660 13654112 16788703; 
42.204000000000015 0 9.567999999999964 1 26.475999999999924 2 6.159999999999954 0 9922122 39299693 33437822 20297525 16045504 7828252 19808025 14103852; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 14349955 797018 14696934 21093392 16494857 35324281; 2 19686924 24863940 18102660 13654112 16788703; 
44.13200000000005 0 9.935999999999968 1 28.00999999999991 2 6.185999999999956 0 9922122 39299693 33437822 20297525 11350892 7828252 19808025 18506582; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 14349955 797018 14696934 21093392 16494857 35324281 1315431; 2 19686924 24863940 18102660 13654112 16788703; 
44.72400000000003 0 9.973999999999972 1 28.769999999999918 2 5.979999999999948 0 9922122 39299693 33437822 20297525 11350892 7828252 19808025 18506582; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 15105269 16102437 27120518 25468909 2384071 14349955 797018 14696934 21093392 16494857 1315431 35324281 42079072; 2 19686924 24863940 18102660 13654112 16788703; 
44.552 0 8.56599999999999 1 29.847999999999942 2 6.137999999999947 0 39299693 20297525 11350892 7828252 19808025 14103852 15572221; 1 9647442 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 35502816 17323772 15105269 16102437 27120518 25468909 6821602 10125822 797018 14696934 21093392 16494857 1315431 35324281 42079072; 2 19686924 24863940 18102660 13654112 16788703; 
45.50400000000002 0 8.581999999999981 1 30.832000000000026 2 6.0899999999999475 0 39299693 20297525 11350892 7828252 19808025 14103852 15572221; 1 9647442 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 35502816 17323772 15105269 16102437 27120518 25468909 6821602 10125822 797018 14696934 21093392 16494857 35324281 1315431 42079072 14328764; 2 19686924 24863940 18102660 13654112 16788703; 
46.53599999999996 0 8.501999999999986 1 31.993999999999993 2 6.039999999999949 0 39299693 20297525 7828252 19808025 14103852 15572221 17497582; 1 9647442 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 36150796 17323772 36444947 15105269 16102437 27120518 25468909 6821602 10125822 797018 14696934 21093392 16494857 35324281 1315431 42079072 14328764; 2 19686924 24863940 18102660 13654112 16788703; 
47.63999999999998 0 8.465999999999987 1 33.00400000000001 2 6.169999999999959 0 39299693 20297525 7828252 19808025 14103852 17497582 15572221; 1 9647442 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 36150796 17323772 36444947 15105269 16102437 27120518 25468909 6821602 10125822 18552677 797018 14696934 21093392 16494857 1315431 14328764 42079072 35324281; 2 19686924 24863940 18102660 13654112 16420606; 
