1.0640000000000007 0 1.0180000000000007 1 0.032 2 0.014 0 18162730; 1 2 
2.3179999999999987 0 1.0440000000000007 1 1.256000000000001 2 0.018000000000000002 0 18162730; 1 14785887; 2 
5.477999999999973 0 2.7699999999999863 1 2.6619999999999933 2 0.04600000000000003 0 22461427; 1 22523228 12389772; 2 
6.5759999999999605 0 2.8119999999999847 1 3.6959999999999664 2 0.06800000000000003 0 22461427; 1 22523228 12389772 14167991; 2 
9.491999999999974 0 3.093999999999981 1 6.301999999999958 2 0.09600000000000007 0 22461427; 1 22523228 2384071 14167991 37975185; 2 
10.919999999999968 0 3.201999999999982 1 7.565999999999956 2 0.1520000000000001 0 22461427; 1 22523228 2384071 14167991 37975185 14785887; 2 
12.005999999999965 0 3.2559999999999825 1 8.62799999999998 2 0.12200000000000008 0 22461427; 1 22523228 2384071 14167991 37975185 14785887 16845153; 2 
8.999999999999975 0 2.172000000000001 1 6.745999999999959 2 0.08200000000000006 0 18162730 19045839; 1 22523228 12389772 14167991 37975185 14785887 16845153; 2 
10.101999999999965 0 3.2339999999999662 1 6.7759999999999545 2 0.09200000000000007 0 18162730 19045839 14813714; 1 22523228 12389772 14167991 37975185 14785887 16845153; 2 
15.093999999999982 0 5.281999999999966 1 9.657999999999983 2 0.1540000000000001 0 16090188 14813714 22461427; 1 22523228 12389772 14167991 37975185 14785887 16845153 2384071; 2 
16.085999999999977 0 6.1819999999999595 1 9.721999999999971 2 0.18200000000000013 0 18162730 14813714 22461427 14139780; 1 22523228 12389772 14167991 37975185 14785887 16845153 2384071; 2 
18.05199999999997 0 6.393999999999962 1 11.467999999999954 2 0.19000000000000014 0 18162730 14813714 22461427 14139780; 1 22523228 12389772 14167991 37975185 14785887 16004411 2384071 15184942; 2 
19.68199999999999 0 7.745999999999973 1 11.739999999999947 2 0.19600000000000015 0 16090188 14813714 22461427 14139780 7376382; 1 22523228 12389772 14167991 37975185 14785887 16004411 2384071 15184942; 2 
33.028000000000034 0 10.437999999999954 1 21.32799999999999 2 1.262000000000001 0 14813714 18162730 27015480 14139780 22461427 33437822 7376382; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 1315431 22242176 27486099 17173775 15184942 21093392 22523228 16780257 28942852; 2 17850012; 
34.69800000000001 0 10.485999999999965 1 22.899999999999967 2 1.312000000000001 0 14813714 16090188 26945207 14139780 22461427 33437822 7376382; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 1315431 22242176 27486099 17173775 15184942 21093392 22523228 16780257 28942852 8820652; 2 17850012; 
35.72800000000005 0 11.531999999999957 1 22.831999999999944 2 1.364000000000001 0 14813714 16090188 26945207 22461427 15572221 39299693 7376382 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 18817130 1315431 22242176 27486099 17173775 15184942 21093392 22523228 28942852 8820652; 2 17850012; 
37.05000000000003 0 11.671999999999954 1 24.003999999999934 2 1.374000000000001 0 14813714 16090188 26945207 22461427 33437822 39299693 7376382 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 18817130 1315431 22242176 27486099 27120518 15184942 21093392 22523228 28942852 8820652 17173775; 2 17850012; 
37.378000000000014 0 11.237999999999952 1 24.795999999999957 2 1.344000000000001 0 14813714 16090188 26945207 22461427 39469612 39299693 15572221 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 18817130 1315431 22242176 27486099 27120518 15184942 21093392 22523228 28942852 8820652 17173775 21494085; 2 17850012; 
38.614000000000075 0 11.227999999999948 1 26.021999999999927 2 1.364000000000001 0 14813714 16090188 26945207 22461427 39469612 39299693 15572221 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 18817130 1315431 22242176 27486099 27120518 15184942 21093392 22523228 28942852 8820652 17173775 21494085 43199935; 2 17850012; 
39.69000000000004 0 11.463999999999965 1 26.881999999999902 2 1.344000000000001 0 14813714 16090188 12377702 22461427 39469612 39299693 15572221 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 18817130 1315431 22242176 27486099 27120518 15184942 21093392 22523228 28942852 8820652 17173775 21494085 43199935 797018; 2 17850012; 
40.68000000000005 0 11.251999999999953 1 27.065999999999903 2 2.361999999999998 0 14813714 16090188 12377702 22461427 39469612 39299693 15572221 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 18817130 1315431 22242176 27486099 27120518 15184942 21093392 22523228 28942852 8820652 17173775 21494085 43199935 797018; 2 17850012 17291344; 
42.96200000000005 0 12.761999999999938 1 26.795999999999925 2 3.403999999999969 0 14813714 16090188 12377702 22461427 39469612 19624059 19045839 7376382 15757811; 1 37975185 12389772 14785887 2384071 16845153 14098609 18817130 1315431 22242176 27120518 15184942 21093392 22523228 28942852 8820652 17173775 21494085 43199935 797018 15076390; 2 17850012 30197513 17291344; 
44.40400000000002 0 12.881999999999943 1 29.065999999999963 2 2.455999999999996 0 14813714 15495146 22461427 39469612 19624059 19045839 40581589 15757811 7376382; 1 37975185 12389772 14785887 2384071 14590651 16845153 14098609 23344327 18817130 1315431 22242176 27120518 15184942 21093392 22523228 8820652 17173775 43199935 21494085 28942852 797018 15076390; 2 17850012 17291344; 
45.453999999999965 0 12.961999999999941 1 30.027999999999956 2 2.463999999999996 0 14813714 14551274 22461427 39469612 19624059 39299693 40581589 15757811 7376382; 1 37975185 12389772 14785887 2384071 14590651 16845153 14098609 23344327 18817130 1315431 22242176 27120518 15184942 21093392 22523228 8820652 17173775 43199935 21494085 28942852 797018 15076390 14328764; 2 17850012 17291344; 
46.196 0 12.929999999999941 1 30.801999999999957 2 2.4639999999999955 0 14813714 14551274 22461427 39469612 19624059 39299693 40581589 15757811 7376382; 1 37975185 12389772 14785887 2384071 14590651 16845153 14098609 23344327 18817130 1315431 22242176 27120518 15184942 21093392 22523228 8820652 17173775 43199935 21494085 28942852 797018 33095128 14328764 15608670; 2 17850012 17291344; 
46.93799999999997 0 13.787999999999963 1 29.77399999999997 2 3.375999999999971 0 14813714 16090188 14551274 22461427 39469612 19624059 39299693 40581589 15757811 7376382; 1 37975185 12389772 14785887 2384071 16845153 14098609 18817130 1315431 22242176 27120518 15184942 21093392 22523228 8820652 17173775 43199935 21494085 28942852 797018 33095128 15608670 14328764 14451294; 2 17850012 30197513 17291344; 
