1.0800000000000007 0 0.014 1 1.0580000000000007 2 0.008 0 1 12389772; 2 
2.1160000000000014 0 1.0460000000000007 1 1.0460000000000007 2 0.024 0 18162730; 1 12389772; 2 
3.449999999999965 0 1.0680000000000007 1 2.3359999999999994 2 0.04600000000000001 0 18162730; 1 12389772 14785887; 2 
6.699999999999966 0 2.7079999999999878 1 3.9099999999999726 2 0.08200000000000005 0 22461427; 1 12389772 14785887 14167991; 2 
7.833999999999965 0 2.8039999999999847 1 4.917999999999974 2 0.11200000000000007 0 22461427; 1 12389772 14785887 14167991 22523228; 2 
32.172 0 6.901999999999962 1 20.73999999999998 2 4.529999999999984 0 14813714 22461427 18888190 9922122; 1 16102437 797018 14785887 37975185 15862005 29973725 2384071 14909369 23344327 17201112 22242176 15105269 22523228 21494085 29118055 16236786; 2 24863940 16788703 16420606 17850012; 
33.79600000000006 0 8.293999999999958 1 21.009999999999987 2 4.491999999999984 0 82243 14813714 16304657 7376382 22461427; 1 16102437 797018 14785887 37975185 15862005 12389772 14909369 23344327 17201112 22242176 15105269 22523228 21494085 29118055 16236786 2384071; 2 24863940 16788703 16420606 17850012; 
35.64000000000002 0 8.379999999999974 1 22.771999999999984 2 4.487999999999985 0 82243 14813714 7376382 9922122 22461427; 1 16102437 797018 14785887 37975185 15862005 12389772 14909369 23344327 16004411 17201112 22242176 15105269 22523228 21494085 29118055 16236786 2384071; 2 24863940 16788703 16420606 17850012; 
37.17200000000007 0 7.543999999999967 1 25.097999999999907 2 4.52999999999998 0 14813714 7376382 17676511 22461427; 1 16102437 797018 14785887 21093392 15862005 12389772 14167991 14909369 23344327 16004411 17201112 22242176 15105269 22523228 21494085 29118055 16236786 2384071 43199935; 2 24863940 16788703 16420606 17850012; 
37.93400000000006 0 8.41599999999997 1 24.91599999999993 2 4.60199999999998 0 14813714 7376382 17676511 22461427 19045839; 1 16102437 797018 14785887 21093392 15862005 12389772 14167991 14909369 23344327 16004411 17201112 22242176 15105269 22523228 21494085 29118055 16236786 43199935 2384071; 2 24863940 16788703 16420606 17850012; 
39.06600000000004 0 9.58999999999998 1 24.939999999999923 2 4.535999999999982 0 82243 14813714 7376382 17676511 22461427 19045839; 1 16102437 797018 14785887 21093392 15862005 12389772 14909369 23344327 16004411 17201112 22242176 15105269 22523228 21494085 29118055 16236786 43199935 2384071 16931885; 2 24863940 16788703 16420606 17850012; 
39.96200000000003 0 9.38599999999997 1 26.057999999999915 2 4.517999999999978 0 82243 14813714 7376382 17676511 22461427 19045839; 1 16102437 797018 14785887 37975185 15862005 12389772 14909369 23344327 16004411 17201112 22242176 15105269 22523228 21494085 29118055 16236786 43199935 2384071 16931885 21093392; 2 24863940 16788703 16420606 17850012; 
40.358 0 9.269999999999982 1 26.499999999999908 2 4.587999999999979 0 14813714 16304657 7376382 17676511 22461427 19045839; 1 16102437 797018 14785887 37975185 15862005 12389772 14167991 14909369 23344327 17201112 22242176 15105269 22523228 21494085 29118055 16236786 43199935 2384071 16931885 21093392 9590002; 2 24863940 16788703 16420606 17850012; 
41.64800000000001 0 9.425999999999966 1 27.62199999999995 2 4.599999999999979 0 19045839 22461427 18162730 17676511 7376382 14813714; 1 797018 17201112 14785887 37975185 29118055 43199935 9590002 12389772 16931885 14909369 2384071 16236786 15105269 22523228 16102437 22242176 23344327 14167991 21093392 15862005 21494085 14451294; 2 17850012 16420606 16788703 24863940; 
42.500000000000064 0 9.557999999999964 1 28.391999999999907 2 4.549999999999984 0 19045839 22461427 18162730 17676511 7376382 14813714; 1 797018 17201112 14785887 37975185 29118055 43199935 9590002 12389772 16931885 14909369 2384071 16236786 15105269 22523228 16102437 22242176 23344327 14167991 21093392 15862005 21494085 14451294 41773112; 2 17850012 16420606 16788703 24863940; 
43.38200000000005 0 9.381999999999978 1 29.485999999999947 2 4.513999999999981 0 19045839 22461427 18162730 17676511 7376382 14813714; 1 797018 17201112 14785887 37975185 29118055 43199935 9590002 12389772 16931885 14909369 2384071 16236786 15105269 22523228 16102437 22242176 23344327 14167991 21093392 15862005 21494085 14451294 41773112 16813674; 2 17850012 16420606 16788703 11120172; 
44.771999999999956 0 9.59199999999996 1 30.62799999999998 2 4.5519999999999845 0 19045839 22461427 18162730 17676511 7376382 14813714; 1 797018 17201112 14785887 37975185 29118055 43199935 9590002 12389772 16931885 14909369 2384071 16236786 15105269 22523228 16102437 22242176 23344327 14167991 21093392 15862005 21494085 14451294 16813674 41773112 12327342; 2 17850012 16420606 16788703 11120172; 
