1.1660000000000008 0 0.032 1 1.1140000000000008 2 0.020000000000000004 0 1 22523228; 2 
2.3599999999999985 0 0.054000000000000006 1 2.2939999999999987 2 0.012 0 1 22523228 22242176; 2 
3.5179999999999625 0 1.1400000000000008 1 2.334 2 0.044000000000000025 0 18162730; 1 22523228 22242176; 2 
6.675999999999955 0 2.7899999999999876 1 3.8299999999999708 2 0.056000000000000036 0 22461427; 1 22242176 22523228 12389772; 2 
25.25799999999992 0 5.469999999999973 1 18.66 2 1.1280000000000008 0 14813714 24983519 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 34258868 18988350 14204673 14451294 19360333 37975185 14785887 15728729 14909369 20719354; 2 17850012; 
26.2639999999999 0 5.431999999999969 1 18.669999999999987 2 2.1620000000000013 0 14813714 24983519 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 34258868 18988350 14204673 14451294 19360333 37975185 14785887 15728729 14909369 20719354; 2 17850012 24863940; 
27.68399999999993 0 5.463999999999967 1 20.07799999999999 2 2.142000000000001 0 14813714 24983519 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 12389772 18988350 14301386 14909369 14785887 14167991 15728729 37975185 19360333 14451294 16494857; 2 17850012 24863940; 
28.59599999999997 0 5.495999999999969 1 20.96599999999998 2 2.1340000000000003 0 14813714 24983519 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 12389772 18988350 14301386 14909369 14785887 14167991 15728729 37975185 19360333 14451294 16494857 21494085; 2 17850012 24863940; 
30.478000000000005 0 6.787999999999959 1 21.523999999999994 2 2.166 0 14813714 24983519 19099851 22461427; 1 32949746 22523228 17173775 16236786 16813674 12389772 18988350 14301386 14909369 14785887 14167991 15728729 37975185 19360333 14451294 16494857 21494085 16102437; 2 17850012 17291344; 
32.07400000000002 0 6.765999999999968 1 23.131999999999987 2 2.176 0 14813714 24983519 19099851 22461427; 1 32949746 22523228 17173775 16236786 16813674 12389772 18988350 14301386 14909369 14785887 14167991 15728729 37975185 19360333 14451294 16494857 21494085 16102437 23885448; 2 17850012 17291344; 
32.588000000000015 0 5.833999999999964 1 24.56399999999993 2 2.19 0 14813714 24983519 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 12389772 18988350 20719354 14909369 14785887 14167991 15728729 37975185 41773112 14451294 16494857 21494085 16102437 23885448 23344327; 2 17850012 24863940; 
34.684000000000005 0 7.183999999999962 1 25.26799999999989 2 2.2319999999999998 0 14813714 24983519 1253451 22461427; 1 32949746 22523228 17173775 8043172 15862005 12389772 18988350 20719354 14909369 14785887 14167991 15728729 37975185 41773112 14451294 16494857 21494085 16102437 23885448 23344327 30864390; 2 17850012 24863940; 
34.862000000000066 0 7.721999999999973 1 24.927999999999905 2 2.212 0 14813714 24983519 1253451 22461427 18888190; 1 32949746 22523228 22242176 8043172 15862005 12389772 18988350 20719354 14909369 14785887 14167991 15728729 37975185 41773112 14451294 16494857 21494085 16102437 23885448 23344327 30864390; 2 17850012 24863940; 
35.96000000000003 0 7.861999999999966 1 25.905999999999903 2 2.1919999999999993 0 14813714 24983519 1253451 22461427 18888190; 1 32949746 22523228 22242176 8043172 15862005 12389772 18988350 20719354 14909369 14785887 14167991 15728729 37975185 41773112 14451294 16494857 23344327 23885448 21494085 30864390 16102437 37135242; 2 17850012 24863940; 
