1.0740000000000007 0 0.014 1 1.0500000000000007 2 0.01 0 1 12389772; 2 
29.145999999999958 0 10.061999999999966 1 18.834000000000007 2 0.25000000000000017 0 9922122 33437822 15001089 14813714 7376382 14368074 22461427; 1 14167991 2384071 15184942 14785887 12389772 28726058 16780257 22242176 16004411 15105269 14451294 16845153 27120518 8624502; 2 
29.913999999999962 0 12.121999999999948 1 17.57199999999997 2 0.22000000000000017 0 9922122 33437822 15001089 39299693 14813714 15572221 14368074 22461427 7376382; 1 14167991 2384071 15184942 14785887 12389772 28726058 22242176 16004411 15105269 14451294 16845153 27120518 8624502; 2 
30.759999999999966 0 10.971999999999966 1 19.52999999999998 2 0.2580000000000002 0 9922122 33437822 15001089 39299693 14813714 15572221 22461427 7376382; 1 14167991 2384071 15184942 14785887 12389772 28726058 22242176 36071096 16004411 15105269 14451294 16845153 27120518 8624502 14328764; 2 
32.29199999999997 0 11.123999999999977 1 20.905999999999995 2 0.2620000000000002 0 9922122 33437822 19045839 14813714 15572221 14368074 7376382 22461427; 1 14167991 2384071 15184942 14785887 12389772 28726058 16780257 22242176 14549852 16004411 15105269 14451294 16845153 27120518 8624502 14328764; 2 
33.088000000000065 0 11.105999999999945 1 21.76399999999996 2 0.21800000000000017 0 9922122 33437822 19045839 14813714 15572221 14368074 7376382 22461427; 1 14167991 2384071 15184942 14785887 12389772 28726058 16780257 22242176 14549852 16004411 15105269 14451294 16845153 27120518 8624502 14328764 797018; 2 
34.35200000000003 0 11.083999999999957 1 22.997999999999973 2 0.2700000000000002 0 9922122 33437822 19045839 7376382 22461427 14368074 15572221 14813714; 1 14167991 2384071 15184942 14785887 12389772 16004411 28726058 15105269 27120518 14549852 14451294 16780257 797018 14328764 16845153 22242176 8624502 19447907; 2 
34.890000000000065 0 13.055999999999942 1 21.539999999999978 2 0.2940000000000002 0 9922122 33437822 19045839 7376382 22461427 23542242 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 16004411 28726058 15105269 27120518 14451294 797018 14328764 36071096 16845153 22242176 8624502 19447907; 2 
35.50400000000004 0 12.919999999999941 1 22.285999999999976 2 0.2980000000000002 0 9922122 33437822 19045839 7376382 22461427 23542242 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21060795 28726058 15105269 27120518 14451294 797018 14328764 36071096 16845153 22242176 8624502 19447907 21266715; 2 
36.49800000000004 0 12.869999999999948 1 23.297999999999945 2 0.33000000000000024 0 9922122 33437822 19045839 7376382 22461427 23542242 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21060795 28726058 15105269 27120518 14451294 797018 14328764 36071096 16845153 22242176 8624502 19447907 21266715 25468909; 2 
37.39000000000005 0 12.93199999999995 1 24.14399999999993 2 0.3140000000000002 0 9922122 33437822 19045839 7376382 22461427 23542242 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21060795 28726058 15105269 27120518 14451294 797018 14328764 36071096 16845153 22242176 8624502 19447907 21266715 25468909 23514314; 2 
38.58600000000005 0 12.113999999999942 1 26.16399999999989 2 0.3080000000000002 0 9922122 33437822 19045839 7376382 22461427 23542242 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21060795 28726058 15105269 27120518 14451294 16780257 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719; 2 
39.580000000000005 0 12.027999999999938 1 27.26799999999993 2 0.2840000000000002 0 9922122 33437822 19045839 7376382 22461427 23542242 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21060795 28726058 15105269 27120518 14451294 16780257 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392; 2 
40.91799999999998 0 13.073999999999936 1 27.553999999999956 2 0.2900000000000002 0 9922122 33437822 19045839 7376382 22461427 14139780 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21437676 22523228 15105269 27120518 16236786 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 16102437; 2 
42.164000000000044 0 13.017999999999946 1 28.80399999999995 2 0.34200000000000025 0 9922122 33437822 19045839 7376382 22461427 14139780 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21437676 22523228 15105269 27120518 16236786 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 16102437 23344327; 2 
43.118 0 13.047999999999945 1 29.695999999999977 2 0.3740000000000003 0 9922122 33437822 19045839 7376382 22461427 14139780 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21437676 22523228 15105269 27120518 16236786 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 16102437 23344327 6821602; 2 
44.02200000000002 0 13.025999999999948 1 30.647999999999957 2 0.34800000000000025 0 9922122 33437822 19045839 7376382 22461427 14139780 39299693 15572221 18162730 14813714; 1 14167991 2384071 15184942 14785887 12389772 21060795 22523228 15105269 27120518 14451294 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 16102437 23344327 6821602 37975185; 2 
45.21400000000004 0 14.06799999999996 1 30.811999999999973 2 0.33400000000000024 0 9922122 33437822 19045839 7376382 22461427 14139780 39299693 15572221 18162730 14813714 14306885; 1 14167991 2384071 15184942 14785887 12389772 21060795 22523228 15105269 27120518 14451294 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 23344327 16102437 37975185 6821602; 2 
46.73399999999997 0 14.167999999999973 1 32.14600000000002 2 0.4200000000000003 0 9922122 33437822 19045839 7376382 22461427 14139780 39299693 15572221 18162730 14813714 14306885; 1 14167991 2384071 15184942 14785887 12389772 21437676 22523228 15105269 27120518 16236786 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 23344327 16102437 37975185 6821602 8820652; 2 
48.17599999999997 0 13.251999999999942 1 34.52800000000004 2 0.3960000000000003 0 9922122 33437822 19045839 7376382 22461427 14139780 15572221 18162730 14813714 14306885; 1 14167991 2384071 15184942 14785887 12389772 21437676 22523228 15105269 27120518 16236786 16780257 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 23344327 16102437 37975185 6821602 8820652 6898562; 2 
49.22599999999992 0 14.171999999999953 1 34.61400000000003 2 0.44000000000000034 0 9922122 33437822 19045839 7376382 22461427 14139780 15572221 18162730 14813714 14306885 29986886; 1 14167991 2384071 15184942 14785887 12389772 21437676 22523228 15105269 27120518 16236786 16780257 797018 14328764 36071096 16845153 22242176 8624502 19447907 25468909 21266715 23514314 15298719 21093392 23344327 16102437 37975185 6821602 8820652 6898562; 2 
