1.0560000000000007 0 0.006 1 1.0460000000000007 2 0.004 0 1 12389772; 2 
2.314 0 0.066 1 2.2 2 0.04800000000000003 0 1 12389772 22523228; 2 
3.3439999999999634 0 0.06000000000000002 1 3.2339999999999645 2 0.05000000000000002 0 1 12389772 22523228 14167991; 2 
6.78999999999996 0 2.875999999999985 1 3.8379999999999685 2 0.07600000000000005 0 22461427; 1 12389772 14167991 14785887; 2 
39.308000000000035 0 9.471999999999968 1 26.28399999999993 2 3.551999999999971 0 20466461 14813714 33437822 22461427 17582384 7376382; 1 23344327 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 41773112 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 15076390; 2 17850012 24863940 16420606; 
40.994000000000035 0 9.655999999999969 1 27.783999999999917 2 3.553999999999968 0 7376382 14813714 20466461 33437822 22461427 17582384; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 41773112 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652; 2 24863940 16420606 17850012; 
41.82200000000002 0 10.583999999999962 1 27.623999999999945 2 3.6139999999999692 0 7376382 14813714 20466461 33437822 22461427 17582384 9922122; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 41773112 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652; 2 24863940 16420606 17850012; 
42.57200000000003 0 10.523999999999978 1 27.493999999999936 2 4.553999999999984 0 7376382 14813714 33437822 22461427 17582384 9922122 18843449; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 41773112 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652; 2 24863940 16788703 16420606 17850012; 
43.83800000000002 0 11.555999999999969 1 28.75999999999995 2 3.5219999999999696 0 7376382 14813714 20466461 33437822 22461427 17582384 9922122 18843449; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 16845153; 2 24863940 16420606 17850012; 
44.974000000000025 0 9.621999999999966 1 31.787999999999982 2 3.563999999999971 0 7376382 33437822 22461427 17582384 9922122 18843449; 1 11541862 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 17105161 23344327 8820652 16845153 21266715; 2 24863940 16788703 17850012; 
45.92400000000002 0 10.547999999999966 1 30.795999999999975 2 4.579999999999984 0 7376382 14813714 33437822 22461427 17582384 9922122 18843449; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 16845153 21266715 29118055; 2 24863940 16788703 16420606 17850012; 
47.66200000000002 0 11.81399999999996 1 31.27999999999998 2 4.567999999999983 0 7376382 14813714 33437822 22461427 17582384 9922122 18843449 17297261; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 21266715 29118055 16412744; 2 24863940 16788703 16420606 17850012; 
48.488 0 12.58999999999995 1 31.207999999999952 2 4.689999999999976 0 7376382 14813714 33437822 22461427 27015480 9922122 18843449 17297261 14459159; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 21266715 29118055 16412744; 2 24863940 16788703 16420606 17850012; 
49.185999999999986 0 11.623999999999953 1 32.90800000000002 2 4.65399999999998 0 7376382 14813714 33437822 22461427 27015480 9922122 18843449 14459159; 1 15184942 14167991 2384071 22523228 17201112 8043172 18218255 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 16004411 21266715 29118055 16412744 17451621; 2 24863940 16788703 16420606 17850012; 
50.46799999999994 0 11.76199999999996 1 34.05800000000002 2 4.647999999999978 0 7376382 14813714 33437822 22461427 27015480 9922122 14459159 18843449; 1 15184942 14167991 2384071 22523228 17201112 8043172 18218255 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 16412744 17451621 21266715 16004411 29118055 28726058; 2 24863940 16788703 16420606 17850012; 
51.969999999999885 0 11.857999999999954 1 35.36600000000006 2 4.7459999999999765 0 7376382 14813714 33437822 22461427 27015480 9922122 14459159 18843449; 1 15184942 14167991 2384071 22523228 17201112 8043172 18218255 37975185 27120518 19360333 15076390 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 23344327 8820652 16412744 17451621 21266715 16004411 29118055 28726058 16494857; 2 24863940 16788703 16420606 17850012; 
