1.0600000000000007 0 0.006 1 1.0420000000000007 2 0.012 0 1 12389772; 2 
2.1400000000000015 0 0.01 1 2.0960000000000014 2 0.03400000000000001 0 1 12389772 37975185; 2 
3.149999999999964 0 0.01 1 3.127999999999965 2 0.012 0 1 12389772 37975185 14167991; 2 
5.543999999999963 0 0.2860000000000002 1 4.0159999999999725 2 1.2420000000000009 0 1 12389772 37975185 14167991; 2 17850012; 
34.57000000000001 0 5.613999999999966 1 24.447999999999958 2 4.507999999999985 0 26694808 11350892 14813714 16796683; 1 14785887 22242176 17201112 16102437 22463905 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 19360333 16494857 16813674 21494085 29118055; 2 16420606 17850012 24863940 16788703; 
35.44400000000004 0 5.497999999999966 1 24.36999999999994 2 5.575999999999947 0 26694808 11350892 14813714 16796683; 1 14785887 22242176 17201112 16102437 22463905 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 19360333 16494857 16813674 21494085 29118055; 2 16420606 17826349 24863940 16788703 13253992; 
36.43000000000002 0 7.725999999999974 1 23.259999999999952 2 5.44399999999994 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 22463905 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 29118055; 2 16420606 17826349 24863940 16788703 18102660; 
37.6420000000001 0 7.735999999999971 1 24.387999999999938 2 5.517999999999943 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 22463905 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 29118055 15862005; 2 16420606 17826349 24863940 16788703 18102660; 
39.03800000000003 0 7.941999999999977 1 25.591999999999917 2 5.503999999999941 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 17173775 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 15862005 29118055 33095128; 2 16420606 17826349 24863940 16788703 18102660; 
40.412000000000035 0 7.9799999999999764 1 26.953999999999894 2 5.477999999999944 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 17173775 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 15862005 29118055 33095128 23885448; 2 16420606 17826349 24863940 16788703 18102660; 
41.95800000000006 0 8.123999999999972 1 28.323999999999938 2 5.509999999999946 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 17173775 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 29118055 23885448 15862005 33095128 9590002; 2 16420606 17826349 24863940 16788703 18102660; 
42.856000000000016 0 8.109999999999967 1 29.245999999999963 2 5.499999999999945 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 17173775 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 29118055 23885448 15862005 33095128 9590002 23135992; 2 16420606 17826349 24863940 16788703 18102660; 
44.22000000000004 0 8.05599999999998 1 30.49999999999996 2 5.663999999999942 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 17173775 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 29118055 23885448 15862005 33095128 9590002 23135992 16462880; 2 16420606 17826349 24863940 16788703 18102660; 
44.66400000000005 0 7.883999999999971 1 31.15799999999998 2 5.621999999999946 0 26694808 11350892 14813714 16796683 82243 32627702; 1 14785887 22242176 17201112 16102437 22523228 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 16494857 16813674 21494085 29118055 23885448 15862005 22463905 9590002 23135992 16462880 27486099; 2 16420606 17826349 24863940 16788703 18102660; 
