1.1420000000000008 0 0.016 1 1.1220000000000008 2 0.004 0 1 22523228; 2 
2.2300000000000013 0 0.062000000000000006 1 2.152000000000001 2 0.016 0 1 22523228 12389772; 2 
5.339999999999967 0 3.8359999999999776 1 1.476000000000001 2 0.02800000000000001 0 22461427 18162730; 1 12389772; 2 
7.397999999999964 0 3.047999999999982 1 4.275999999999973 2 0.07400000000000005 0 22461427; 1 12389772 17173775 17862286; 2 
8.34599999999997 0 4.103999999999974 1 4.185999999999975 2 0.056000000000000036 0 22461427 14813714; 1 12389772 17173775 17862286; 2 
8.779999999999971 0 5.763999999999957 1 2.937999999999988 2 0.07800000000000006 0 22461427 18162730 14813714 33437822; 1 12389772 17862286; 2 
10.211999999999964 0 5.949999999999961 1 4.1859999999999715 2 0.07600000000000005 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 16845153; 2 
11.243999999999955 0 5.941999999999962 1 5.219999999999972 2 0.08200000000000005 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 22523228 16845153; 2 
12.249999999999956 0 5.881999999999967 1 6.235999999999953 2 0.1320000000000001 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 22523228 16845153 14328764; 2 
13.375999999999957 0 5.941999999999964 1 7.335999999999976 2 0.09800000000000006 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 22523228 16845153 14328764 14451294; 2 
15.103999999999974 0 6.175999999999959 1 8.781999999999972 2 0.1460000000000001 0 18162730 14813714 33437822 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269; 2 
16.11999999999997 0 6.161999999999965 1 9.813999999999972 2 0.1440000000000001 0 18162730 14813714 15572221 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269 19360333; 2 
35.570000000000014 0 10.583999999999971 1 23.665999999999922 2 1.320000000000001 0 7376382 14139780 18162730 22461427 18660521 14813714 20661527; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 14349955 27120518 8043172 21093392 15487691; 2 17850012; 
36.657999999999994 0 10.645999999999976 1 24.69399999999995 2 1.318000000000001 0 7376382 14139780 18162730 22461427 18660521 14813714 20661527; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 21093392 15487691 14349955 8043172 27120518 14167991; 2 17850012; 
37.53200000000004 0 11.74199999999997 1 24.46799999999995 2 1.322000000000001 0 7376382 9922122 18162730 22461427 18660521 14813714 20661527 14139780; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 21093392 15487691 14349955 8043172 27120518 14167991; 2 17850012; 
38.82200000000004 0 11.70199999999995 1 24.763999999999957 2 2.3559999999999954 0 7376382 9922122 18162730 22461427 18660521 14813714 20661527 14139780; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 21093392 15487691 14349955 8043172 27120518 14167991; 2 17850012 26766494; 
40.19800000000001 0 11.815999999999962 1 26.047999999999952 2 2.3339999999999974 0 7376382 14139780 9922122 18162730 22461427 18660521 14813714 20661527; 1 17498731 16102437 2384071 21093392 27120518 14451294 14328764 22523228 15105269 20214703 17862286 16494857 14167991 15487691 14349955 8820652 16845153 12389772 8043172 16412744; 2 26766494 17850012; 
40.41400000000002 0 11.34399999999996 1 26.68999999999994 2 2.3799999999999977 0 14139780 9922122 18162730 22461427 18660521 14813714 20661527 15319555; 1 17498731 16102437 2384071 21093392 27120518 14451294 14328764 26348935 22523228 15105269 20214703 17862286 16494857 14167991 15487691 14349955 8820652 16845153 12389772 8043172 16412744; 2 26766494 17850012; 
41.724000000000025 0 11.373999999999958 1 27.991999999999912 2 2.357999999999998 0 14139780 9922122 18162730 22461427 18660521 14813714 20661527 15319555; 1 17498731 16102437 2384071 21093392 27120518 14451294 14328764 26348935 22523228 15105269 20214703 17862286 16494857 14167991 15487691 14349955 8820652 16845153 12389772 8043172 16412744 22242176; 2 26766494 17850012; 
42.64600000000001 0 11.44599999999997 1 27.88799999999991 2 3.311999999999968 0 14139780 9922122 18162730 22461427 18660521 14813714 20661527 15319555; 1 17498731 16102437 2384071 21093392 27120518 14451294 14328764 26348935 22523228 15105269 20214703 17862286 16494857 14167991 15487691 14349955 8820652 16845153 12389772 8043172 16412744 22242176; 2 26766494 17850012 24863940; 
43.91800000000005 0 11.681999999999963 1 28.897999999999957 2 3.337999999999969 0 14139780 9922122 18162730 22461427 18660521 14813714 20661527 15319555; 1 17498731 16102437 2384071 21093392 27120518 14451294 14328764 26348935 22523228 15105269 20214703 17862286 16494857 14167991 15487691 14349955 8820652 16845153 12389772 8043172 16412744 22242176 15834295; 2 26766494 17850012 24863940; 
45.339999999999975 0 11.61799999999997 1 30.393999999999977 2 3.327999999999968 0 14139780 9922122 18162730 22461427 18660521 14813714 20661527 15319555; 1 17498731 16102437 2384071 21093392 27120518 14451294 14328764 22463905 22523228 15105269 16447060 17862286 16494857 14167991 15487691 14349955 8820652 16845153 12389772 8043172 16412744 22242176 15834295 18050805; 2 26766494 17850012 24863940; 
