2.4659999999999918 0 0.2920000000000002 1 0.9060000000000007 2 1.268000000000001 0 1 2 17850012; 
3.487999999999981 0 0.32200000000000023 1 0.9040000000000007 2 2.2619999999999996 0 1 2 17850012 24863940; 
3.161999999999964 0 0.046000000000000006 1 1.0980000000000008 2 2.0180000000000016 0 1 797018; 2 24863940 16420606; 
7.7219999999999684 0 0.8400000000000006 1 5.543999999999973 2 1.338000000000001 0 1 797018 2384071 18398842; 2 17850012; 
6.543999999999949 0 0.3080000000000002 1 1.9960000000000016 2 4.239999999999994 0 1 797018; 2 17850012 24863940 16420606 16788703; 
37.57600000000003 0 7.923999999999961 1 23.653999999999915 2 5.99799999999995 0 22461427 20661527 21733345 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 19764560 8043172 16102437 23135992 20657078 21093392; 2 9146202 16788703 24863940 19686924 18102660; 
38.988000000000056 0 8.203999999999967 1 23.719999999999967 2 7.063999999999963 0 22461427 20661527 21733345 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 19764560 8043172 16102437 23135992 20657078 21093392; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
40.106000000000044 0 7.131999999999959 1 25.887999999999913 2 7.085999999999961 0 22461427 20661527 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 16102437 23135992 20657078 21093392 23344327; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
41.17400000000009 0 8.239999999999975 1 25.80399999999992 2 7.129999999999972 0 22461427 20661527 19570101 27362221 9922122; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 16102437 23135992 20657078 21093392 23344327; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
42.042000000000016 0 8.127999999999965 1 26.897999999999932 2 7.015999999999968 0 22461427 20661527 19570101 27362221 9922122; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 16102437 23135992 20657078 21093392 23344327 21266715; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
42.98800000000004 0 9.09399999999997 1 26.86199999999993 2 7.031999999999969 0 22461427 20661527 19570101 15572221 9922122 18888190; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 16102437 23135992 20657078 21093392 23344327 21266715; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
44.12000000000005 0 9.159999999999975 1 27.90599999999992 2 7.053999999999967 0 22461427 20661527 19570101 9922122 18888190 24266846; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 26348935 16102437 23135992 20657078 21093392 23344327 21266715; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
44.95999999999999 0 9.105999999999984 1 28.78999999999993 2 7.063999999999971 0 22461427 20661527 19570101 18888190 24266846 9922122; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 26348935 16102437 23135992 20657078 21093392 23344327 21266715 37975185; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
46.610000000000014 0 9.369999999999978 1 30.177999999999937 2 7.061999999999963 0 22461427 20661527 19570101 18888190 29863027 9922122; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 26348935 16102437 23135992 20657078 21093392 23344327 21266715 37975185 14696659; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
47.52799999999999 0 9.421999999999974 1 31.04800000000002 2 7.057999999999977 0 22461427 20661527 19570101 18888190 29863027 9922122; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 14521343 14167991 19764560 8043172 26348935 16102437 23135992 20657078 21093392 23344327 21266715 37975185 14696659 11541862; 2 9146202 16788703 24863940 19686924 18102660 11120172; 
48.97199999999996 0 10.419999999999956 1 31.483999999999988 2 7.06799999999997 0 15256188 22461427 20661527 19570101 18888190 29863027 9922122; 1 12389772 15487691 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 23832567 14167991 19764560 8043172 26348935 16102437 23135992 20657078 21093392 23344327 21266715 27721637 14696659 11541862 9590002; 2 19543485 16788703 24863940 19686924 18102660 11120172; 
50.11599999999989 0 10.517999999999967 1 32.437999999999995 2 7.1599999999999735 0 15256188 22461427 20661527 19570101 9922122 29863027 18888190; 1 12389772 15487691 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 17548348 23832567 19764560 21266715 23344327 16102437 21093392 27721637 20657078 14167991 14696659 23135992 11541862 26348935 8043172 9590002 16494857; 2 19543485 16788703 24863940 19686924 18102660 11120172; 
