1.0740000000000007 0 0.006 1 1.0440000000000007 2 0.024000000000000007 0 1 12389772; 2 
2.1360000000000015 0 1.0480000000000007 1 1.0620000000000007 2 0.026000000000000002 0 14813714; 1 12389772; 2 
3.279999999999963 0 1.0500000000000007 1 2.196000000000001 2 0.034 0 14813714; 1 12389772 22523228; 2 
6.503999999999964 0 3.7819999999999765 1 2.6359999999999917 2 0.08600000000000005 0 14813714 22461427; 1 12389772 22523228; 2 
38.138000000000055 0 8.61399999999997 1 24.995999999999956 2 4.5279999999999845 0 11350892 14813714 22461427 9922122 29863027; 1 16004411 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 14167991 17451621 12389772 19360333 797018 22040276 15184942 15105269 43199935 21093392; 2 16420606 16788703 17850012 24863940; 
37.930000000000014 0 10.217999999999973 1 23.137999999999952 2 4.57399999999998 0 18162730 11350892 14813714 14139780 9922122 14190794 22461427; 1 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 14167991 17451621 12389772 19360333 797018 22040276 15184942 15105269 43199935 21093392; 2 16420606 16788703 17850012 24863940; 
39.47800000000005 0 10.515999999999963 1 24.441999999999947 2 4.519999999999984 0 18162730 7376382 14813714 14139780 9922122 14190794 22461427; 1 23344327 8043172 22523228 17201112 2384071 14451294 16102437 14785887 14167991 17451621 12389772 19360333 797018 22040276 15184942 15105269 43199935 21093392 27120518; 2 16420606 16788703 17850012 24863940; 
40.38800000000004 0 10.545999999999962 1 25.243999999999915 2 4.597999999999984 0 18162730 7376382 14813714 14139780 9922122 14190794 22461427; 1 23344327 8043172 22523228 17201112 2384071 14451294 16102437 14785887 14167991 17451621 12389772 19360333 797018 22040276 15184942 15105269 21093392 43199935 27120518 15862005; 2 16420606 16788703 17850012 24863940; 
42.15000000000002 0 9.763999999999966 1 27.795999999999914 2 4.589999999999983 0 18162730 7376382 14813714 14139780 9922122 22461427; 1 23344327 8043172 22523228 17201112 2384071 14451294 16102437 14785887 14167991 17451621 12389772 19360333 797018 22040276 15184942 17191474 15105269 21093392 43199935 27120518 15862005 8820652; 2 16420606 16788703 17850012 24863940; 
42.86600000000005 0 9.579999999999963 1 28.74999999999997 2 4.53599999999998 0 18162730 7376382 14813714 14139780 22461427 9922122; 1 23344327 8043172 22523228 17201112 2384071 14451294 16102437 14785887 14167991 17451621 12389772 19360333 797018 22040276 15105269 15862005 17191474 8820652 43199935 27120518 21093392 15184942 14328764; 2 16420606 16788703 17850012 24863940; 
45.22 0 9.80599999999997 1 30.813999999999954 2 4.599999999999981 0 18162730 7376382 14813714 14139780 22461427 9922122; 1 23344327 8043172 22523228 17201112 2384071 14451294 16102437 14785887 14167991 17451621 12389772 19360333 797018 22040276 15105269 15862005 17191474 8820652 43199935 27120518 21093392 15184942 14328764 16004411; 2 16420606 16788703 17850012 24863940; 
45.844000000000044 0 9.725999999999972 1 31.526000000000018 2 4.591999999999977 0 7376382 9922122 14813714 14139780 18162730 22461427; 1 23344327 15105269 22523228 15184942 2384071 21093392 16102437 14785887 16004411 17191474 43199935 19360333 797018 22040276 14328764 12389772 17451621 8820652 14167991 27120518 14451294 17201112 8043172 15862005 16494857; 2 17850012 16788703 24863940 16420606; 
47.16999999999999 0 9.743999999999975 1 31.806000000000015 2 5.619999999999945 0 7376382 9922122 14813714 31177882 18162730 22461427; 1 23344327 15105269 22523228 15184942 2384071 21093392 16102437 14785887 16004411 17191474 43199935 19360333 797018 22040276 14328764 10125822 8820652 14167991 27120518 14451294 17201112 8043172 15862005 16494857 15307206; 2 17850012 16788703 24863940 11120172 16420606; 
48.309999999999995 0 9.751999999999974 1 32.97600000000003 2 5.581999999999947 0 7376382 9922122 14813714 31177882 18162730 22461427; 1 23344327 15105269 22523228 15184942 2384071 21093392 16102437 14785887 16004411 17191474 43199935 19360333 797018 22040276 14328764 10125822 8820652 14167991 27120518 14451294 17201112 8043172 15862005 16494857 15307206 16236786; 2 17850012 16788703 24863940 11120172 16420606; 
