1.0700000000000007 0 1.0300000000000007 1 0.024000000000000007 2 0.016 0 18162730; 1 2 
2.1700000000000017 0 2.0920000000000014 1 0.048000000000000015 2 0.030000000000000006 0 18162730 14813714; 1 2 
7.24799999999996 0 3.1559999999999824 1 4.009999999999979 2 0.08200000000000006 0 22461427; 1 2384071 19360333; 2 
33.74800000000003 0 9.451999999999977 1 19.295999999999978 2 4.999999999999979 0 27060950 33437822 15577501 14139780 39299693 14103852 7828252 29863027; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 6821602 16102437 21093392; 2 24863940 19686924 16788703 18102660; 
34.87000000000002 0 9.491999999999969 1 20.433999999999983 2 4.943999999999972 0 24983519 33437822 15577501 14139780 39299693 14103852 7828252 29863027; 1 17498731 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 6821602 16102437 21093392 17862286; 2 24863940 19686924 16788703 18102660; 
37.222000000000016 0 9.695999999999971 1 22.461999999999986 2 5.063999999999971 0 24983519 33437822 15577501 14139780 39299693 14103852 7828252 29863027; 1 17498731 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 2384071 16102437 21093392 17862286 17059192; 2 24863940 19686924 16788703 18102660; 
38.330000000000005 0 9.635999999999969 1 22.639999999999958 2 6.053999999999947 0 14103852 7828252 29863027 33437822 14139780 39299693 15577501 24983519; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518; 2 19686924 16788703 18102660 24863940 16420606; 
39.11199999999998 0 9.65399999999997 1 23.421999999999986 2 6.03599999999995 0 14103852 7828252 29863027 33437822 14139780 39299693 15577501 38929280; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018; 2 19686924 16788703 18102660 24863940 16420606; 
40.618 0 10.725999999999969 1 23.833999999999953 2 6.057999999999943 0 14103852 7828252 29863027 33437822 14139780 39299693 15577501 38929280 19808025; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018; 2 19686924 16788703 18102660 24863940 16420606; 
41.924000000000035 0 10.811999999999955 1 24.979999999999933 2 6.131999999999948 0 14103852 7828252 29863027 33437822 14139780 39299693 15577501 38929280 19808025; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269; 2 19686924 16788703 18102660 24863940 16420606; 
42.71600000000004 0 10.871999999999955 1 25.80799999999991 2 6.03599999999995 0 14103852 7828252 29863027 33437822 14139780 39299693 15577501 38929280 19808025; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269 10241802; 2 19686924 16788703 18102660 24863940 16420606; 
43.08600000000003 0 9.805999999999974 1 27.263999999999914 2 6.015999999999948 0 14103852 7828252 29863027 33437822 39299693 15577501 38929280 19808025; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 6821602 20576509 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269 10241802 24561360; 2 19686924 16788703 18102660 17850012 16420606; 
44.21600000000005 0 10.699999999999958 1 27.37999999999991 2 6.13599999999995 0 14103852 7828252 29863027 33437822 39299693 15577501 38929280 19808025 27362221; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 6821602 20576509 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269 10241802 24561360; 2 19686924 16788703 18102660 17850012 16420606; 
45.69200000000001 0 10.809999999999958 1 28.771999999999945 2 6.109999999999948 0 14103852 7828252 29863027 33437822 39299693 15577501 38929280 19808025 27362221; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 6821602 20576509 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269 10241802 24561360 14785887; 2 19686924 16788703 18102660 17850012 16420606; 
47.643999999999984 0 10.757999999999946 1 30.749999999999975 2 6.135999999999951 0 14103852 7828252 22489157 33437822 39299693 15577501 38929280 19808025 27362221; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 20576509 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269 10241802 24561360 14785887 15487691; 2 19686924 16788703 18102660 17850012 16420606; 
48.949999999999925 0 10.91599999999995 1 31.984000000000012 2 6.049999999999947 0 14103852 7828252 22489157 33437822 39299693 15577501 38929280 19808025 27362221; 1 17201112 14696934 16845153 8820652 21060795 14451294 12389772 19360333 16102437 2384071 20576509 17323772 25468909 17498731 17059192 21093392 17862286 22523228 27120518 797018 15105269 10241802 24561360 14785887 15487691 1315431; 2 19686924 16788703 18102660 17850012 16420606; 
