1.1340000000000008 0 0.036000000000000004 1 1.0800000000000007 2 0.018000000000000002 0 1 22523228; 2 
2.202000000000001 0 0.02600000000000001 1 2.1520000000000006 2 0.024000000000000007 0 1 22523228 14167991; 2 
3.339999999999964 0 1.0860000000000007 1 2.216000000000001 2 0.038000000000000006 0 18162730; 1 22523228 14167991; 2 
5.005999999999977 0 0.3000000000000002 1 4.655999999999982 2 0.05000000000000003 0 1 22523228 17173775 14167991 12389772; 2 
8.24199999999997 0 3.0279999999999814 1 5.153999999999967 2 0.06000000000000004 0 22461427; 1 17173775 14167991 12389772 30864390; 2 
11.189999999999968 0 3.5219999999999825 1 7.569999999999971 2 0.09800000000000007 0 22461427; 1 17173775 2384071 12389772 30864390 37975185; 2 
12.199999999999964 0 4.467999999999971 1 7.605999999999966 2 0.12600000000000008 0 22461427 14813714; 1 17173775 37975185 12389772 2384071 30864390; 2 
13.051999999999946 0 4.357999999999973 1 8.567999999999968 2 0.12600000000000008 0 22461427 14813714; 1 17173775 37975185 12389772 2384071 30864390 32949746; 2 
33.566 0 8.139999999999976 1 24.18399999999991 2 1.2420000000000009 0 14813714 18162730 1253451 82243 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 16004411 8043172 21362085 22951944 14785887 16431844 21494085 23885448 18988350 21093392; 2 17850012; 
34.704000000000015 0 7.267999999999966 1 26.21999999999992 2 1.2160000000000009 0 14813714 18162730 1253451 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16004411 16236786 21362085 22951944 14785887 16431844 21494085 23885448 18988350 21093392 37135242; 2 17850012; 
35.60600000000006 0 6.985999999999957 1 27.35199999999993 2 1.268000000000001 0 14813714 18162730 1253451 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16004411 8043172 21362085 22951944 14785887 16431844 21494085 23885448 18988350 21093392 37135242 28726058; 2 17850012; 
36.736000000000004 0 7.065999999999962 1 28.421999999999937 2 1.2480000000000009 0 14813714 18162730 1253451 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16004411 8043172 21362085 22951944 14785887 16431844 21494085 23885448 18988350 21093392 37135242 28726058 15105269; 2 17850012; 
37.76800000000004 0 7.027999999999962 1 29.443999999999942 2 1.296000000000001 0 14813714 18162730 1253451 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 41773112 16004411 8043172 21362085 22951944 14785887 16431844 21494085 23885448 18988350 21093392 37135242 15105269 28726058 15862005; 2 17850012; 
39.466000000000015 0 7.283999999999963 1 30.831999999999994 2 1.350000000000001 0 14813714 18162730 1253451 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16004411 16236786 21362085 22951944 14785887 16431844 21494085 23885448 18988350 21093392 37135242 15105269 28726058 15862005 14909369; 2 17850012; 
39.59400000000005 0 8.269999999999973 1 30.017999999999972 2 1.306000000000001 0 14813714 18162730 20806196 19224821 22461427; 1 12389772 16102437 15307206 37975185 30864390 32949746 22242176 2384071 19360333 8043172 16447060 22951944 14785887 16813674 21494085 23885448 18988350 21093392 37135242 15105269 28726058 15862005 14909369 16494857; 2 17850012; 
40.45200000000002 0 8.121999999999964 1 30.985999999999986 2 1.344000000000001 0 14813714 18162730 20806196 19224821 22461427; 1 12389772 16102437 15307206 37975185 30864390 32949746 22242176 2384071 19360333 8043172 16447060 22951944 14785887 16813674 21494085 23885448 18988350 21093392 37135242 15862005 14909369 28726058 15105269 16494857 23344327; 2 17850012; 
42.07399999999999 0 9.28599999999997 1 31.468 2 1.320000000000001 0 14813714 18162730 20806196 17829189 19224821 22461427; 1 12389772 16102437 15307206 37975185 30864390 22242176 2384071 19360333 16236786 16004411 22951944 14785887 16813674 21494085 23885448 18988350 21093392 37135242 15862005 14909369 37568391 15105269 16494857 23344327 15184942; 2 17850012; 
42.804 0 10.219999999999969 1 31.309999999999977 2 1.274000000000001 0 14813714 18162730 20806196 17829189 82243 19224821 22461427; 1 12389772 16102437 15307206 37975185 30864390 22242176 2384071 16236786 16004411 22951944 14785887 16813674 21494085 23885448 18988350 21093392 37135242 15862005 14909369 37568391 15105269 16494857 23344327 15184942 16845153; 2 17850012; 
44.11000000000002 0 10.43199999999996 1 32.398000000000025 2 1.280000000000001 0 14813714 18162730 20806196 17829189 82243 19224821 22461427; 1 12389772 16102437 15307206 37975185 30864390 22242176 2384071 16236786 16004411 22951944 14785887 16813674 21494085 23885448 18988350 21093392 37135242 15862005 14909369 37568391 15105269 16494857 23344327 15184942 16845153 15487691; 2 17850012; 
45.492000000000075 0 10.607999999999961 1 32.580000000000005 2 2.3039999999999976 0 14813714 18162730 20806196 17829189 82243 19224821 22461427; 1 12389772 16102437 15307206 37975185 30864390 22242176 2384071 16236786 22951944 14785887 16813674 21494085 23885448 18988350 21093392 37135242 15862005 14909369 37568391 15105269 16494857 23344327 16845153 15184942 15487691 16004411; 2 17850012 17291344; 
46.67200000000005 0 10.435999999999963 1 32.90800000000001 2 3.3279999999999696 0 14813714 18162730 20806196 82243 19224821 15319555 22461427; 1 12389772 16102437 15307206 37975185 30864390 15941343 22242176 2384071 16236786 22951944 14785887 16813674 21494085 23885448 37135242 15862005 14909369 37568391 15105269 16494857 23344327 16845153 15184942 15487691 16004411 17862286; 2 17850012 17291344 9146202; 
