1.0600000000000007 0 0.01 1 1.0340000000000007 2 0.016 0 1 12389772; 2 
2.1380000000000012 0 1.0200000000000007 1 1.0920000000000007 2 0.02600000000000001 0 18162730; 1 12389772; 2 
3.3159999999999625 0 1.0920000000000007 1 2.190000000000001 2 0.03400000000000001 0 18162730; 1 12389772 22523228; 2 
4.363999999999995 0 1.0800000000000007 1 3.2479999999999656 2 0.03600000000000002 0 18162730; 1 12389772 22523228 37975185; 2 
6.5739999999999466 0 0.3700000000000003 1 5.1539999999999715 2 1.0500000000000007 0 1 12389772 22523228 14365965 37975185; 2 17850012; 
36.77000000000004 0 6.389999999999963 1 28.169999999999906 2 2.2100000000000004 0 7376382 14813714 22461427; 1 22523228 2384071 14365965 14167991 37975185 21437676 17305642 16652658 16494857 15307206 8043172 18988350 15862005 37135242 16936384 16236786 14909369 16102437 21494085 23885448 16845153 41773112 14451294; 2 17850012 17291344; 
37.442 0 7.26399999999996 1 26.981999999999893 2 3.1959999999999678 0 7376382 14813714 22461427 21733345; 1 22523228 2384071 14365965 14167991 37975185 21437676 17305642 16652658 16494857 15307206 8043172 18988350 15862005 37135242 16431844 16236786 14909369 16102437 21494085 16845153 41773112 14451294; 2 17850012 17291344 30197513; 
38.42400000000006 0 7.305999999999962 1 28.883999999999958 2 2.233999999999998 0 7376382 14813714 22461427 21733345; 1 22523228 2384071 14365965 14167991 37975185 21437676 17305642 16652658 16494857 15307206 8043172 26771859 18988350 15862005 37135242 16431844 16236786 14909369 16102437 21494085 16845153 41773112 14451294 16813674; 2 17850012 30197513; 
39.65000000000003 0 7.147999999999961 1 30.21199999999994 2 2.2899999999999983 0 7376382 14813714 22461427 21733345; 1 22523228 2384071 14365965 14167991 37975185 21437676 17305642 16652658 16494857 15307206 8043172 26771859 18988350 15862005 37135242 16431844 16236786 14909369 16102437 21494085 16845153 41773112 14451294 16813674 23344327; 2 17850012 30197513; 
41.640000000000015 0 8.389999999999969 1 30.913999999999984 2 2.335999999999998 0 7376382 19624059 14813714 22461427 21733345; 1 22523228 2384071 14365965 14167991 21437676 17305642 16652658 16494857 15307206 8043172 26771859 18988350 15862005 37135242 16431844 16236786 14909369 16102437 21494085 16845153 41773112 14451294 16813674 23344327 15105269; 2 17850012 30197513; 
42.72600000000006 0 8.629999999999972 1 30.78999999999996 2 3.3059999999999694 0 7376382 19624059 14813714 22461427 21733345; 1 22523228 2384071 14365965 14167991 21437676 17305642 16652658 16494857 15307206 8043172 18988350 15862005 37135242 16431844 16236786 14909369 16102437 21494085 16845153 41773112 14451294 16813674 23344327 15105269 30864390; 2 17850012 17291344 30197513; 
43.70600000000004 0 8.453999999999976 1 31.93 2 3.321999999999969 0 7376382 19624059 14813714 22461427 21733345; 1 22523228 2384071 14365965 14167991 21437676 17305642 16652658 16494857 15307206 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 16813674 23344327 15105269 30864390 14785887; 2 17850012 17291344 30197513; 
45.01600000000004 0 9.689999999999975 1 31.995999999999995 2 3.329999999999969 0 7376382 19624059 14813714 22461427 21733345 37527239; 1 22523228 2384071 14365965 14167991 21437676 17305642 16652658 16494857 15307206 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 23344327 16813674 15105269 14785887 30864390; 2 17850012 17291344 30197513; 
46.059999999999995 0 9.62999999999998 1 33.05000000000003 2 3.379999999999971 0 7376382 19624059 14813714 22461427 21733345 37527239; 1 22523228 12389772 14365965 14167991 21437676 17305642 16652658 16494857 14301386 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 23344327 16813674 15105269 14785887 30864390 2384071; 2 17850012 17291344 30197513; 
46.943999999999996 0 9.349999999999973 1 33.24200000000005 2 4.351999999999986 0 29863027 19624059 14813714 22461427 21733345 37527239; 1 29838696 12389772 22242176 14167991 21437676 17305642 16652658 16494857 14301386 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 23344327 16813674 15105269 14785887 30864390 2384071; 2 17850012 17291344 30197513 9146202; 
47.71999999999999 0 10.251999999999967 1 33.14200000000001 2 4.325999999999989 0 34983 19624059 14813714 22461427 21733345 37527239 18506582; 1 22523228 12389772 22242176 14167991 21437676 17305642 16652658 16494857 14301386 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 23344327 16813674 15105269 14785887 30864390 2384071; 2 17850012 17291344 30197513 9146202; 
48.78199999999989 0 10.319999999999967 1 35.11000000000004 2 3.3519999999999683 0 34983 19624059 14813714 22461427 21733345 37527239 18506582; 1 22523228 12389772 22242176 14167991 21437676 17305642 16652658 16494857 14301386 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 23344327 16813674 15105269 14785887 30864390 2384071 21093392 22463905; 2 17850012 17291344 30197513; 
49.557999999999915 0 9.291999999999984 1 36.96400000000005 2 3.3019999999999703 0 34983 14813714 22461427 21733345 37527239 18506582; 1 22523228 12389772 22242176 14167991 37975185 21437676 17305642 16652658 16494857 14301386 8043172 18988350 15862005 37135242 39349202 16236786 14909369 16102437 21494085 16845153 41773112 14451294 23344327 16813674 15105269 14785887 30864390 2384071 21093392 22463905 15184942; 2 17850012 17291344 30197513; 
