1.1640000000000008 0 0.030000000000000002 1 1.1200000000000008 2 0.014 0 1 22523228; 2 
2.2640000000000002 0 0.048 1 2.19 2 0.026000000000000002 0 1 22523228 12389772; 2 
3.309999999999963 0 0.05000000000000002 1 3.2299999999999653 2 0.030000000000000013 0 1 22523228 12389772 14167991; 2 
6.557999999999962 0 2.8279999999999843 1 3.663999999999971 2 0.06600000000000003 0 22461427; 1 12389772 22523228 14167991; 2 
9.665999999999976 0 3.3539999999999806 1 6.197999999999958 2 0.11400000000000009 0 22461427; 1 2384071 22523228 14167991 37975185; 2 
10.935999999999959 0 3.327999999999981 1 7.497999999999965 2 0.11000000000000008 0 22461427; 1 2384071 22523228 14167991 37975185 16845153; 2 
11.90399999999996 0 4.333999999999976 1 7.463999999999964 2 0.10600000000000008 0 22461427 27362221; 1 2384071 22523228 14167991 37975185 16845153; 2 
8.837999999999983 0 3.201999999999962 1 5.545999999999942 2 0.09000000000000007 0 18162730 27362221 14139780; 1 12389772 22523228 14167991 37975185 16845153; 2 
10.237999999999968 0 3.335999999999967 1 6.809999999999956 2 0.09200000000000005 0 18162730 27362221 14139780; 1 12389772 22523228 14167991 37975185 16845153 16102437; 2 
11.547999999999947 0 3.3279999999999643 1 8.117999999999999 2 0.10200000000000008 0 14139780 18162730 27362221; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887; 2 
16.53199999999998 0 5.435999999999969 1 10.907999999999957 2 0.18800000000000014 0 22461427 18162730 27362221; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887 2384071; 2 
17.63600000000001 0 6.397999999999959 1 11.053999999999954 2 0.18400000000000014 0 22461427 18162730 27362221 19570101; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887 2384071; 2 
18.85999999999998 0 6.4959999999999605 1 12.157999999999952 2 0.20600000000000016 0 22461427 18162730 27362221 19570101; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887 2384071 14451294; 2 
19.718000000000007 0 6.337999999999962 1 13.201999999999948 2 0.17800000000000013 0 19570101 22461427 14813714 27362221; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018; 2 
21.097999999999974 0 6.435999999999963 1 14.463999999999952 2 0.19800000000000015 0 19570101 22461427 14813714 27362221; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942; 2 
22.73399999999998 0 6.941999999999961 1 15.569999999999988 2 0.22200000000000017 0 19570101 22461427 14813714 7376382; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518; 2 
23.711999999999936 0 7.903999999999971 1 15.587999999999985 2 0.22000000000000017 0 19570101 22461427 14813714 7376382 19045839; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518; 2 
41.85199999999998 0 11.671999999999958 1 28.89599999999996 2 1.284000000000001 0 19570101 22461427 34983 14813714 9922122 18762666 15309336 15572221; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 22242176 15184942 15105269 21093392 16494857 27120518 17173775 19360333 8820652 15076390 16004411; 2 17850012; 
42.79000000000008 0 11.719999999999965 1 29.77399999999996 2 1.296000000000001 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602; 2 17850012; 
43.85200000000006 0 11.683999999999955 1 30.845999999999993 2 1.322000000000001 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 28726058; 2 17850012; 
45.550000000000004 0 11.715999999999953 1 32.509999999999984 2 1.324000000000001 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 28726058 1315431; 2 17850012; 
46.539999999999964 0 11.877999999999968 1 33.28400000000002 2 1.378000000000001 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 28726058 1315431 8043172; 2 17850012; 
47.27799999999999 0 11.769999999999941 1 34.17600000000005 2 1.332000000000001 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 28726058 1315431 8043172 14431629; 2 17850012; 
48.28799999999992 0 11.773999999999958 1 34.20600000000004 2 2.307999999999998 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 28726058 1315431 8043172 14431629; 2 17850012 26766494; 
49.7199999999999 0 12.809999999999944 1 34.55200000000004 2 2.357999999999998 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714 18660521; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 1315431 14431629 28726058 8043172; 2 17850012 26766494; 
50.38199999999988 0 12.757999999999942 1 35.26800000000006 2 2.355999999999998 0 19570101 22461427 34983 9922122 15572221 18762666 15309336 14813714 18660521; 1 14451294 12389772 16845153 2384071 16102437 17486893 22523228 37975185 14167991 14785887 797018 8820652 27120518 15184942 21093392 16004411 17173775 15076390 19360333 22242176 16494857 15105269 6821602 1315431 14431629 28726058 8043172 14259990; 2 17850012 26766494; 
51.62799999999989 0 14.845999999999957 1 34.38200000000002 2 2.399999999999997 0 19570101 22461427 34983 33437822 37527239 9922122 15572221 18762666 15309336 14813714 18660521; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 8820652 15184942 21093392 11763862 17173775 15076390 16412744 22242176 16494857 15105269 6821602 1315431 14431629 28726058 8043172 19447907 16004411; 2 17850012 26766494; 
