1.1240000000000008 0 0.038 1 1.0800000000000007 2 0.006 0 1 22523228; 2 
2.2419999999999995 0 0.06800000000000002 1 2.1440000000000006 2 0.030000000000000013 0 1 22523228 12389772; 2 
3.3379999999999646 0 0.07400000000000002 1 3.231999999999966 2 0.032000000000000015 0 1 22523228 12389772 14167991; 2 
4.923999999999977 0 0.3000000000000002 1 4.585999999999983 2 0.03800000000000002 0 1 22523228 12389772 14167991 17173775; 2 
6.021999999999942 0 1.318000000000001 1 4.6539999999999795 2 0.05000000000000003 0 14813714; 1 14167991 22523228 17173775 12389772; 2 
7.071999999999967 0 1.366000000000001 1 5.63599999999994 2 0.07000000000000003 0 14813714; 1 14167991 22523228 17173775 12389772 21494085; 2 
35.37600000000004 0 5.579999999999969 1 26.64199999999991 2 3.1539999999999666 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 37975185 23885448 14785887 22242176 12389772 22523228 17486893 16004411 18988350 21494085 14167991 32949746 14451294 30285499 15862005 37135242 16431844 22951944 15184942; 2 17850012 30702406 9146202; 
36.03800000000006 0 5.449999999999971 1 27.449999999999918 2 3.137999999999966 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 37975185 23885448 14785887 22242176 12389772 22523228 42128261 16004411 18988350 21494085 14167991 32949746 14451294 30285499 15862005 37135242 22951944 16431844 15184942 14328764; 2 17850012 30702406 9146202; 
37.128000000000014 0 6.763999999999961 1 25.199999999999935 2 5.16399999999994 0 14813714 22461427 39299693 17645505; 1 15307206 8043172 16236786 23885448 14785887 22242176 12389772 22523228 42128261 11425612 18988350 21494085 14167991 32949746 14451294 15862005 37135242 16431844 15184942 14328764 16845153; 2 17850012 13253992 30702406 24863940 9146202; 
38.750000000000064 0 5.72399999999997 1 27.8799999999999 2 5.14599999999994 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 23885448 14785887 22242176 12389772 22523228 42128261 15728729 18988350 21494085 14167991 32949746 14451294 15862005 37135242 35967493 16431844 15184942 14328764 16845153 16004411; 2 17850012 13253992 30702406 24863940 9146202; 
39.69799999999999 0 5.741999999999969 1 29.837999999999962 2 4.117999999999997 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 37975185 23885448 14785887 22242176 12389772 22523228 42128261 15728729 18988350 21494085 14167991 32949746 14451294 15862005 37135242 35967493 16431844 15184942 14328764 16845153 16004411 30864390; 2 17850012 30702406 24863940 9146202; 
40.426000000000045 0 5.669999999999969 1 30.613999999999972 2 4.141999999999998 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 37975185 23885448 14785887 22242176 12389772 22523228 42128261 43341949 18988350 21494085 14167991 32949746 14451294 15862005 37135242 35967493 16431844 15184942 14328764 16845153 16004411 30864390 14808468; 2 17850012 30702406 24863940 9146202; 
42.11999999999998 0 5.887999999999969 1 32.092000000000006 2 4.139999999999996 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 37975185 23885448 14785887 22242176 12389772 22523228 42128261 43341949 18988350 21494085 14167991 32949746 14451294 15862005 37135242 35967493 16431844 15184942 14328764 16004411 14808468 30864390 16845153 17173775; 2 17850012 30702406 24863940 9146202; 
42.94200000000004 0 8.703999999999976 1 30.057999999999957 2 4.1799999999999935 0 14813714 22461427 18162730 39299693 20661527 33437822; 1 15307206 8043172 16236786 37975185 23885448 14785887 22242176 12389772 22523228 43341949 18988350 21494085 14167991 32949746 14451294 15862005 37135242 35967493 16431844 15184942 14328764 14808468 30864390 16845153 16004411; 2 17850012 30702406 24863940 9146202; 
43.84800000000002 0 7.759999999999964 1 31.89799999999998 2 4.189999999999995 0 14813714 22461427 39299693 33437822 20661527; 1 15307206 8043172 19360333 37975185 23885448 14785887 22242176 12389772 22523228 42128261 43341949 18988350 21494085 14167991 32949746 14451294 15862005 37135242 22951944 16845153 30864390 14808468 15184942 16004411 16431844 14328764 16412744; 2 17850012 30702406 24863940 9146202; 
45.62199999999996 0 8.09999999999997 1 33.32400000000003 2 4.197999999999994 0 14813714 22461427 18162730 39299693 20661527; 1 15307206 8043172 19360333 37975185 23885448 14785887 22242176 12389772 22523228 43341949 18988350 21494085 14167991 32949746 14451294 15862005 37135242 22951944 16845153 30864390 14808468 17173775 15184942 16004411 16431844 14328764 16412744 28726058; 2 17850012 30702406 24863940 9146202; 
