1.1120000000000008 0 0.024 1 1.0880000000000007 2 0.0 0 1 797018; 2 
2.162000000000001 0 0.030000000000000006 1 2.122000000000001 2 0.01 0 1 797018 12389772; 2 
3.4339999999999633 0 0.08000000000000002 1 3.331999999999965 2 0.022000000000000006 0 1 797018 12389772 22242176; 2 
6.815999999999962 0 2.9859999999999802 1 3.767999999999969 2 0.062000000000000034 0 22461427; 1 22242176 797018 12389772; 2 
7.9299999999999615 0 2.9599999999999835 1 4.915999999999974 2 0.054000000000000034 0 22461427; 1 22242176 797018 12389772 22523228; 2 
8.751999999999965 0 2.7239999999999878 1 5.965999999999945 2 0.06200000000000004 0 22461427; 1 22242176 797018 12389772 22523228 37975185; 2 
12.075999999999954 0 3.3419999999999814 1 8.629999999999976 2 0.10400000000000008 0 22461427; 1 797018 2384071 22523228 22242176 37975185 14451294; 2 
13.377999999999947 0 3.291999999999981 1 9.92599999999997 2 0.16000000000000011 0 22461427; 1 797018 2384071 22523228 22242176 37975185 14451294 15184942; 2 
14.33799999999994 0 4.455999999999977 1 9.72799999999997 2 0.1540000000000001 0 22461427 14813714; 1 797018 2384071 22523228 22242176 37975185 14451294 15184942; 2 
34.010000000000026 0 8.705999999999976 1 24.05199999999996 2 1.252000000000001 0 22461427 31177882 16639670 29863027 7376382; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887 17173775 27120518 14198539; 2 17850012; 
35.48400000000006 0 9.861999999999979 1 24.375999999999934 2 1.2460000000000009 0 22461427 31177882 16639670 29863027 7376382 14368074; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887 17173775 27120518 14198539; 2 17850012; 
36.50400000000004 0 9.669999999999973 1 25.529999999999944 2 1.304000000000001 0 22461427 15495146 16639670 9922122 7376382 14368074; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887 17173775 27120518 14198539 23344327; 2 17850012; 
38.052000000000056 0 9.925999999999956 1 26.857999999999926 2 1.268000000000001 0 22461427 31177882 16639670 29863027 7376382 14368074; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887 17173775 27120518 14198539 23344327 17862286; 2 17850012; 
39.044000000000025 0 9.717999999999975 1 28.021999999999952 2 1.304000000000001 0 22461427 31177882 16639670 9922122 14368074 7376382; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 8531732 14785887 17173775 27120518 14198539 23344327 17862286; 2 17850012; 
39.76200000000004 0 9.659999999999968 1 28.83199999999996 2 1.270000000000001 0 22461427 31177882 16639670 9922122 14368074 7376382; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 8531732 14785887 17173775 27120518 14198539 23344327 17862286 15728729; 2 17850012; 
41.09400000000005 0 9.843999999999962 1 29.94999999999995 2 1.300000000000001 0 22461427 31177882 16639670 9922122 14368074 7376382; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 8531732 14785887 17173775 27120518 14198539 23344327 17862286 15728729 25652849; 2 17850012; 
42.332000000000015 0 11.061999999999967 1 29.967999999999968 2 1.302000000000001 0 20297525 9922122 14813714 29863027 14368074 7376382 22461427; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 8531732 14785887 17173775 27120518 14198539 23344327 17862286 15728729 25652849; 2 17850012; 
43.85 0 11.131999999999975 1 31.375999999999976 2 1.342000000000001 0 20297525 9922122 14813714 29863027 7376382 22461427 14368074; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 14198539 16102437; 2 17850012; 
44.871999999999986 0 12.195999999999952 1 31.365999999999993 2 1.310000000000001 0 20297525 9922122 14813714 29863027 7376382 22461427 14368074 32627702; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 14198539 16102437; 2 17850012; 
46.084000000000024 0 13.341999999999944 1 31.397999999999996 2 1.344000000000001 0 20297525 9922122 14813714 29863027 7376382 22461427 14368074 32627702 15572221; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 14198539 16102437; 2 17850012; 
46.953999999999965 0 13.349999999999953 1 32.28199999999997 2 1.322000000000001 0 20297525 20745274 14813714 29863027 7376382 22461427 14368074 32627702 15572221; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 14198539 16102437 15236550; 2 17850012; 
47.881999999999984 0 13.393999999999957 1 33.166000000000004 2 1.322000000000001 0 20297525 20745274 14813714 29863027 7376382 22461427 14368074 32627702 15572221; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 8043172 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 14198539 16102437 15236550 19360333; 2 17850012; 
48.95599999999998 0 14.207999999999958 1 33.45400000000005 2 1.294000000000001 0 20297525 20745274 14813714 29863027 7376382 22461427 14368074 32627702 15572221 18843449; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 8043172 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 17451621 16102437 15236550 26911668; 2 17850012; 
49.96799999999993 0 14.195999999999966 1 34.42800000000003 2 1.344000000000001 0 20297525 20745274 14813714 29863027 7376382 22461427 14368074 32627702 15572221 18843449; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 8043172 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 17451621 16102437 15236550 26911668 21093392; 2 17850012; 
51.37599999999989 0 14.353999999999946 1 35.68600000000006 2 1.336000000000001 0 20297525 20745274 14813714 29863027 7376382 22461427 14368074 18843449 32627702 15572221; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 8043172 15105269 15184942 14167991 25652849 23344327 17862286 14785887 15728729 8531732 27120518 17173775 17451621 16102437 15236550 21093392 26911668 21266715; 2 17850012; 
