1.0920000000000007 0 0.008 1 1.0740000000000007 2 0.01 0 1 12389772; 2 
2.1860000000000004 0 0.034 1 2.140000000000001 2 0.012 0 1 12389772 22523228; 2 
5.503999999999964 0 3.887999999999976 1 1.5640000000000012 2 0.05200000000000003 0 22461427 18162730; 1 12389772; 2 
7.101999999999956 0 4.053999999999973 1 2.9819999999999873 2 0.06600000000000002 0 22461427 14813714; 1 12389772 17173775; 2 
7.723999999999958 0 4.90799999999997 1 2.749999999999992 2 0.06600000000000003 0 22461427 18162730 14813714; 1 12389772 22242176; 2 
25.615999999999932 0 6.633999999999964 1 16.835999999999977 2 2.1460000000000004 0 14813714 18162730 22461427 18888190; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 16447060 15487691 8820652 14328764 17862286 16102437; 2 17850012 24863940; 
26.20999999999994 0 6.495999999999967 1 17.547999999999988 2 2.1660000000000004 0 14813714 18162730 22461427 18888190; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 11442052 15487691 8820652 14328764 17862286 16102437 28942852; 2 17850012 24863940; 
29.12799999999991 0 5.983999999999964 1 19.941999999999965 2 3.2019999999999675 0 14813714 18162730 22461427; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 11442052 17862286 8820652 15487691 28942852 14328764 16102437 2384071; 2 17850012 9146202 24863940; 
30.22399999999999 0 5.977999999999966 1 21.02199999999998 2 3.223999999999969 0 14813714 18162730 22461427; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 11442052 17862286 8820652 15487691 28942852 14328764 16102437 2384071 27120518; 2 17850012 9146202 24863940; 
29.597999999999995 0 6.581999999999955 1 18.837999999999976 2 4.1779999999999955 0 14813714 18162730 22461427 9922122; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 22341818 17862286 8820652 15487691 28942852 14328764 16102437 27120518; 2 17850012 9146202 24863940 30702406; 
32.13799999999998 0 8.821999999999969 1 20.097999999999974 2 3.21799999999997 0 14813714 18162730 22461427 9922122 29986886 39299693; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 22341818 17862286 8820652 15487691 28942852 14328764 16102437 2384071; 2 17850012 9146202 24863940; 
33.45600000000001 0 8.919999999999973 1 21.325999999999986 2 3.2099999999999698 0 14813714 18162730 22461427 9922122 29986886 14139780; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 17486893 17862286 8820652 15487691 28942852 14328764 16102437 2384071 18961908; 2 17850012 9146202 24863940; 
34.48800000000004 0 8.989999999999968 1 22.30199999999997 2 3.1959999999999673 0 14813714 18162730 22461427 9922122 29986886 14139780; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 17486893 17862286 8820652 15487691 28942852 14328764 16102437 2384071 18961908 14451294; 2 17850012 9146202 24863940; 
35.87000000000001 0 9.09399999999997 1 23.50599999999998 2 3.26999999999997 0 14813714 18162730 22461427 9922122 29986886 14139780; 1 12389772 22242176 22523228 16845153 16494857 17498731 20576509 17486893 17862286 8820652 15487691 28942852 14328764 16102437 2384071 18961908 14451294 15834295; 2 17850012 9146202 24863940; 
36.76400000000007 0 10.181999999999968 1 23.36599999999994 2 3.2159999999999664 0 18162730 14139780 9922122 14813714 29986886 22461427 14306885; 1 22242176 16102437 2384071 18961908 22523228 17498731 12389772 17486893 28942852 14328764 16845153 15487691 20576509 17862286 8820652 14451294 15834295 16494857; 2 24863940 9146202 17850012; 
37.70400000000004 0 10.101999999999974 1 24.41999999999995 2 3.181999999999968 0 18162730 9922122 14813714 29986886 22461427 14306885 19045839; 1 22242176 16102437 2384071 18961908 22523228 17498731 12389772 17486893 28942852 14328764 16845153 18959428 15487691 20576509 17862286 8820652 14451294 15834295 16494857; 2 24863940 9146202 17850012; 
39.25600000000003 0 10.283999999999983 1 25.7819999999999 2 3.1899999999999666 0 18162730 9922122 14813714 29986886 22461427 14306885 19045839; 1 22242176 16102437 2384071 18961908 22523228 17498731 12389772 17486893 28942852 14328764 16845153 18959428 15487691 20576509 17862286 8820652 14451294 15834295 16494857 15105269; 2 24863940 9146202 17850012; 
40.21600000000006 0 11.121999999999959 1 25.881999999999913 2 3.2119999999999687 0 18162730 9922122 14813714 29986886 22461427 14306885 19045839 14139780; 1 22242176 16102437 2384071 18961908 22523228 17498731 12389772 17486893 28942852 14328764 16845153 18959428 15487691 20576509 17862286 8820652 14451294 15834295 16494857 15105269; 2 24863940 9146202 17850012; 
41.346000000000004 0 11.251999999999947 1 25.86799999999993 2 4.225999999999992 0 18162730 9922122 14813714 29986886 22461427 14306885 19045839 14139780; 1 22242176 16102437 2384071 18961908 22523228 17498731 12389772 17486893 28942852 14328764 16845153 18959428 15487691 20576509 17862286 8820652 14451294 15834295 16494857 15105269; 2 24863940 9146202 17850012 26766494; 
