2.4419999999999913 0 0.2840000000000002 1 0.9000000000000007 2 1.258000000000001 0 1 2 17850012; 
2.1200000000000014 0 1.0540000000000007 1 1.0540000000000007 2 0.012 0 39299693; 1 19360333; 2 
34.02400000000002 0 8.073999999999998 1 21.881999999999966 2 4.067999999999973 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 39068896 16412744 25468909 14696934 14431629 16102437 27120518 797018 15809746 21093392; 2 19686924 16788703 24863940; 
34.94400000000006 0 8.108 1 21.909999999999954 2 4.92599999999997 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 14431629 16102437 27120518 797018 15809746 21093392; 2 19686924 16788703 24863940 18102660; 
35.98800000000002 0 9.103999999999973 1 21.96799999999995 2 4.9159999999999675 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 14431629 16102437 27120518 21093392 15809746 797018; 2 19686924 16788703 18102660 24863940; 
37.388000000000076 0 9.197999999999979 1 23.283999999999974 2 4.905999999999972 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 14431629 16102437 27120518 21093392 15809746 797018 10125822; 2 19686924 16788703 18102660 24863940; 
38.542 0 9.061999999999971 1 24.567999999999923 2 4.911999999999977 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 14431629 16102437 27120518 21093392 15809746 797018 10125822 17862286; 2 19686924 16788703 18102660 24863940; 
39.96800000000002 0 9.155999999999974 1 24.781999999999922 2 6.029999999999942 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 14431629 16102437 27120518 21093392 15809746 15100166 10125822 17862286; 2 19686924 16788703 18102660 24863940 13654112; 
40.994000000000035 0 9.243999999999982 1 25.647999999999918 2 6.101999999999956 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 14431629 16102437 27120518 21093392 15809746 15100166 17862286 10125822 35324281; 2 19686924 16788703 18102660 24863940 13654112; 
43.36000000000006 0 9.531999999999977 1 27.759999999999902 2 6.0679999999999525 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 2384071 16102437 27120518 21093392 15809746 15100166 17862286 10125822 35324281 24561360; 2 19686924 16788703 18102660 24863940 13654112; 
44.49000000000007 0 9.561999999999976 1 28.891999999999953 2 6.035999999999946 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 2384071 16102437 27120518 21093392 15809746 15100166 17862286 10125822 35324281 14872695 10241802; 2 19686924 16788703 18102660 24863940 13654112; 
45.84600000000002 0 9.559999999999974 1 30.239999999999952 2 6.0459999999999505 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 2384071 16102437 27120518 21093392 15809746 15100166 17862286 10125822 35324281 14872695 10241802 10638782; 2 19686924 16788703 18102660 24863940 13654112; 
47.13799999999998 0 9.725999999999983 1 31.274000000000022 2 6.137999999999953 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 2384071 16102437 27120518 21093392 15809746 15100166 17862286 10125822 35324281 24561360 10241802 10638782 17250640; 2 19686924 16788703 18102660 24863940 13654112; 
47.87599999999988 0 9.67199999999998 1 32.127999999999986 2 6.075999999999948 0 39299693 14813714 9922122 7828252 1106311 24983519 17497582 19808025; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 21060795 15605407 39068896 16412744 25468909 14696934 2384071 16102437 27120518 21093392 15809746 15100166 17862286 10125822 35324281 24561360 10241802 10638782 17250640 16871663; 2 19686924 16788703 18102660 24863940 13654112; 
