1.0340000000000007 0 0.006 1 1.0280000000000007 2 0.0 0 1 792795; 2 
2.0440000000000014 0 0.024000000000000007 1 1.0200000000000007 2 1.0000000000000007 0 1 792795; 2 22295588; 
26.893999999999846 0 5.199999999999941 1 18.64 2 3.0539999999999656 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 19268192 27696456; 2 22295588 16561591 24987071; 
27.941999999999883 0 5.221999999999937 1 18.653999999999993 2 4.066 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192; 2 22295588 16561591 24987071 18734728; 
28.966000000000026 0 5.199999999999938 1 19.711999999999986 2 4.054000000000001 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 14109605; 2 22295588 16561591 24987071 18734728; 
29.899999999999917 0 5.195999999999938 1 20.645999999999898 2 4.058 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 14109605 20109855; 2 22295588 16561591 24987071 18734728; 
31.02999999999996 0 5.233999999999941 1 21.71200000000008 2 4.084 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 14109605 20109855 19070417; 2 22295588 16561591 24987071 18734728; 
32.1960000000001 0 5.3059999999999405 1 22.817999999999984 2 4.071999999999999 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 19070417 14109605 20109855 15834295; 2 22295588 16561591 24987071 18734728; 
33.068000000000005 0 5.269999999999941 1 23.729999999999812 2 4.067999999999999 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 19070417 14109605 20109855 15834295 18916680; 2 22295588 16561591 24987071 18734728; 
34.21400000000005 0 5.313999999999942 1 24.825999999999873 2 4.073999999999999 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 19070417 14109605 20109855 15834295 18916680 1564111; 2 22295588 16561591 24987071 18734728; 
35.11800000000014 0 5.249999999999939 1 25.78800000000003 2 4.079999999999999 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 19070417 14109605 20109855 15834295 18916680 1564111 17305642; 2 22295588 16561591 24987071 18734728; 
36.19000000000007 0 5.293999999999937 1 26.82599999999984 2 4.069999999999999 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 27696456 19268192 19070417 14109605 20109855 15834295 18916680 1564111 17305642 25847047; 2 22295588 16561591 24987071 18734728; 
37.234000000000066 0 6.261999999999937 1 26.891999999999857 2 4.079999999999999 0 2207861 17431643 12623252 17560937 14254414 19621874; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 16505673 16339549 15834295 1564111 19070417 19268192 22811603 20024547 27696456 17305642 14109605 20109855 25847047 18916680; 2 22295588 16561591 24987071 18734728; 
38.034000000000134 0 6.2139999999999365 1 27.753999999999888 2 4.066 0 2207861 17431643 12623252 17560937 14254414 19621874; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 16505673 16339549 15834295 1564111 19070417 19268192 22811603 20024547 27696456 17305642 14109605 20109855 25847047 18916680 35782573; 2 22295588 16561591 24987071 18734728; 
