1.0600000000000007 0 0.002 1 1.0460000000000007 2 0.012 0 1 12389772; 2 
2.1360000000000015 0 1.0220000000000007 1 1.0820000000000007 2 0.032 0 18162730; 1 12389772; 2 
4.539999999999975 0 0.33400000000000024 1 2.9119999999999906 2 1.294000000000001 0 1 12389772 22523228; 2 17850012; 
34.64600000000003 0 4.2739999999999725 1 23.271999999999956 2 7.0999999999999766 0 22461427; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 23885448 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392; 2 24863940 17850012 16788703 23015762 19686924 18336787; 
35.69600000000004 0 5.319999999999967 1 23.27799999999997 2 7.0979999999999634 0 22461427 7376382; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 23885448 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392; 2 24863940 17850012 16788703 23015762 19686924 18336787; 
37.07600000000004 0 5.511999999999971 1 24.43399999999994 2 7.129999999999979 0 22461427 7376382; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 23885448 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392 8043172; 2 24863940 17850012 16788703 23015762 19686924 18336787; 
37.584000000000046 0 5.313999999999967 1 25.103999999999928 2 7.165999999999965 0 22461427 7376382; 1 22523228 12389772 37975185 16102437 14785887 22242176 21437676 27120518 16931885 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392 8043172 15105269; 2 24863940 17850012 16788703 30473755 19686924 18336787; 
38.55800000000004 0 5.363999999999968 1 26.17999999999993 2 7.013999999999963 0 22461427 7376382; 1 22523228 12389772 37975185 16102437 14785887 22242176 21437676 27120518 16931885 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392 8043172 15105269 16845153; 2 24863940 17850012 16788703 30473755 19686924 18336787; 
39.59000000000002 0 7.385999999999963 1 26.163999999999945 2 6.03999999999995 0 18162730 14813714 7376382 22461427; 1 22523228 12389772 37975185 16102437 14785887 22242176 21437676 27120518 16931885 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392 8043172 15105269 16845153; 2 24863940 17850012 16788703 19686924 18336787; 
40.72400000000003 0 8.42799999999996 1 26.15199999999993 2 6.1439999999999495 0 18162730 14813714 7376382 22461427 21470154; 1 22523228 12389772 37975185 16102437 14785887 22242176 21437676 27120518 16931885 17201112 14909369 15487691 2384071 19360333 14167991 21494085 14451294 21093392 8043172 15105269 16845153; 2 24863940 17850012 16788703 19686924 18336787; 
42.44000000000005 0 8.545999999999971 1 27.707999999999924 2 6.185999999999951 0 18162730 14813714 7376382 21470154 22461427; 1 22523228 12389772 37975185 17201112 21437676 23885448 2384071 8043172 21494085 16845153 16102437 27120518 15105269 14167991 21093392 14451294 22242176 19360333 15487691 14909369 14785887 15184942; 2 24863940 17850012 16788703 19686924 18336787; 
43.62800000000001 0 8.575999999999974 1 28.035999999999927 2 7.015999999999973 0 18162730 14813714 7376382 21470154 22461427; 1 22523228 12389772 37975185 17201112 21437676 23885448 2384071 8043172 21494085 16845153 16102437 27120518 15105269 14167991 21093392 14451294 22242176 41773112 15487691 14909369 14785887 15184942; 2 24863940 17850012 16788703 19686924 18336787 18102660; 
44.75000000000003 0 8.71799999999997 1 28.863999999999944 2 7.16799999999997 0 18162730 14813714 7376382 21470154 22461427; 1 22523228 12389772 37975185 17201112 21437676 23885448 2384071 8043172 21494085 16845153 16102437 27120518 15105269 14167991 21093392 14451294 22242176 41773112 15487691 14909369 14785887 15184942 15862005; 2 24863940 17850012 16788703 19686924 18336787 18102660; 
45.44599999999999 0 8.49199999999997 1 28.913999999999945 2 8.039999999999992 0 18162730 14813714 7376382 21470154 22461427; 1 22523228 12389772 37975185 17201112 21437676 23885448 2384071 8043172 21494085 16845153 16102437 27120518 15105269 14167991 21093392 14451294 22242176 41773112 15487691 14909369 14785887 15184942 15862005; 2 24863940 17850012 16788703 17291344 18336787 18102660 19686924; 
46.91800000000002 0 8.74999999999997 1 31.020000000000003 2 7.147999999999974 0 18162730 14813714 7376382 21470154 22461427; 1 22523228 12389772 37975185 26771859 17201112 23344327 23885448 2384071 8043172 21494085 16845153 16102437 27120518 15105269 14167991 21093392 14451294 22242176 19360333 15487691 14909369 14785887 15184942 15862005 21437676; 2 24863940 17850012 16788703 18336787 18102660 19686924; 
