1.0600000000000007 0 1.0280000000000007 1 0.02 2 0.012 0 18162730; 1 2 
3.5639999999999814 0 1.356000000000001 1 0.9000000000000007 2 1.308000000000001 0 39299693; 1 2 17850012; 
33.89400000000003 0 9.691999999999975 1 19.273999999999997 2 4.927999999999975 0 33437822 11350892 9922122 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 17323772 14696934 17498731 25468909 797018 6821602 16102437 27120518; 2 19686924 24863940 22604125 18102660; 
35.356000000000066 0 9.723999999999977 1 20.539999999999974 2 5.0919999999999686 0 33437822 11350892 9922122 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 17323772 14696934 17498731 25468909 797018 6821602 27120518 16102437 15105269; 2 19686924 24863940 16788703 18102660; 
36.42600000000003 0 10.769999999999966 1 20.656000000000002 2 4.999999999999969 0 33437822 11350892 9922122 18162730 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 25468909 797018 6821602 27120518 16102437 15105269 21093392; 2 19686924 24863940 16788703 18102660; 
38.76600000000006 0 11.00399999999996 1 22.753999999999994 2 5.00799999999997 0 33437822 11350892 9922122 18162730 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 25468909 797018 2384071 27120518 16102437 15105269 21093392 17250640; 2 19686924 24863940 16788703 18102660; 
40.05999999999999 0 11.095999999999972 1 23.903999999999943 2 5.059999999999967 0 33437822 11350892 9922122 18162730 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941; 2 19686924 24863940 16788703 18102660; 
40.75800000000003 0 11.04399999999995 1 24.749999999999943 2 4.963999999999969 0 33437822 11350892 9922122 18162730 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 35324281; 2 19686924 24863940 16788703 18102660; 
42.304000000000094 0 10.213999999999974 1 27.09599999999993 2 4.9939999999999705 0 33437822 11350892 9922122 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 14365965 16845153 21060795 14696934 17498731 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 35324281 15487691; 2 19686924 24863940 16788703 18102660; 
42.61600000000002 0 10.763999999999951 1 26.89199999999993 2 4.959999999999973 0 33437822 27060950 9922122 39299693 14139780 22461427 7828252 19808025; 1 12389772 14451294 22523228 17201112 8820652 19360333 14365965 16845153 21060795 14696934 17498731 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 35324281 15487691; 2 19686924 24863940 22604125 18102660; 
43.52999999999998 0 10.711999999999955 1 27.881999999999916 2 4.935999999999971 0 33437822 27060950 9922122 39299693 14139780 22461427 7828252 19808025; 1 12389772 14451294 22523228 17201112 8820652 19360333 14365965 16845153 21060795 14696934 17498731 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 35324281 15487691 10125822; 2 19686924 24863940 22604125 18102660; 
44.51200000000005 0 10.733999999999964 1 28.843999999999923 2 4.933999999999975 0 27060950 9922122 18162730 39299693 22461427 7828252 19808025 15572221; 1 35502816 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 9647442 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 10125822 35324281 15487691; 2 19686924 24863940 22604125 18102660; 
45.953999999999986 0 10.989999999999968 1 29.98599999999999 2 4.977999999999971 0 27060950 9922122 18162730 39299693 22461427 7828252 19808025 15572221; 1 35502816 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 9647442 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 10125822 35324281 15487691 14328764; 2 19686924 24863940 22604125 18102660; 
47.11999999999998 0 10.959999999999955 1 31.111999999999977 2 5.047999999999967 0 27060950 9922122 18162730 39299693 22461427 7828252 19808025 15572221; 1 35502816 12389772 14451294 22523228 17201112 8820652 19360333 16845153 21060795 14696934 17498731 9647442 25468909 797018 2384071 15105269 16102437 21093392 17250640 27120518 4285941 10125822 35324281 15487691 14328764 24561360; 2 19686924 24863940 22604125 18102660; 
